START DATE,team,game,wins_to_date,se,upper_ci_90,lower_ci_90,upper_ci_95,lower_ci_95,upper_ci_99,lower_ci_99
2026-03-25,NYY,1,0.54765,0.0035195302569606475,0.5534391121083272,0.5418608878916727,0.5545481525461419,0.5407518474538581,0.5567157091706062,0.5385842908293937
2026-03-25,SFG,1,0.45235,0.0035195302569606436,0.45813911210832714,0.4465608878916728,0.4592481525461418,0.44545184745385813,0.4614157091706062,0.44328429082939375
2026-03-26,ARI,1,0.388,0.003445779109241266,0.3936678022655091,0.3823321977344909,0.3947536029527934,0.38124639704720664,0.3968757388031403,0.3791242611968597
2026-03-26,BAL,1,0.54985,0.003518006209969595,0.5556366052741062,0.5440633947258937,0.5567451654689286,0.5429548345310713,0.5589117834857067,0.5407882165142932
2026-03-26,BOS,1,0.5732,0.0034975276460639756,0.5789529210339914,0.5674470789660087,0.5800550282212186,0.5663449717787815,0.582209034200704,0.5641909657992961
2026-03-26,CHC,1,0.6099,0.0034491584966070718,0.6155733608630747,0.6042266391369253,0.6166602264303201,0.6031397735696798,0.6187844435281452,0.6010155564718548
2026-03-26,CHW,1,0.43365,0.0035043541344868473,0.43941414960823305,0.4278858503917669,0.4405184078926682,0.42678159210733174,0.44267661806962394,0.424623381930376
2026-03-26,CIN,1,0.4268,0.0034975276460639704,0.4325529210339914,0.4210470789660086,0.43365502822121854,0.4199449717787815,0.435809034200704,0.41779096579929603
2026-03-26,CLE,1,0.4311,0.003501892725746054,0.43686010095113836,0.4253398990488616,0.43796358362018506,0.4242364163798149,0.4401202779008614,0.4220797220991386
2026-03-26,DET,1,0.5213,0.0035324126878055885,0.5271103018214264,0.5154896981785736,0.5282234016466313,0.5143765983533687,0.5303988921134776,0.5122011078865224
2026-03-26,HOU,1,0.5752,0.0034954053975103684,0.5809494302457607,0.5694505697542394,0.5820508686904873,0.5683491313095128,0.5842035676506903,0.5661964323493098
2026-03-26,LAA,1,0.4248,0.0034954053975103675,0.4305494302457607,0.4190505697542393,0.43165086869048724,0.4179491313095128,0.4338035676506902,0.4157964323493098
2026-03-26,LAD,1,0.612,0.003445779109241268,0.6176678022655091,0.6063321977344909,0.6187536029527934,0.6052463970472066,0.6208757388031403,0.6031242611968597
2026-03-26,MIL,1,0.56635,0.003504354134486847,0.5721141496082331,0.5605858503917669,0.5732184078926683,0.5594815921073317,0.575376618069624,0.557323381930376
2026-03-26,MIN,1,0.45015,0.0035180062099695927,0.4559366052741063,0.4443633947258937,0.45704516546892865,0.44325483453107134,0.4592117834857067,0.4410882165142933
2026-03-26,NYM,1,0.56235,0.0035080249695461654,0.5681201875945944,0.5565798124054057,0.5692256025971777,0.5554743974028223,0.5713860735141383,0.5533139264858618
2026-03-26,PHI,1,0.539,0.003524850525704802,0.5447978631716673,0.5332021368283327,0.5459085800812685,0.5320914199187315,0.5480794132747402,0.5299205867252599
2026-03-26,PIT,1,0.43765,0.003508024969546163,0.44342018759459434,0.4318798124054056,0.44452560259717766,0.4307743974028223,0.44668607351413825,0.4286139264858617
2026-03-26,SDP,1,0.4787,0.0035324126878055894,0.48451030182142646,0.47288969817857357,0.4856234016466313,0.4717765983533687,0.4877988921134776,0.46960110788652243
2026-03-26,SEA,1,0.5689,0.0035018927257460548,0.5746601009511383,0.5631398990488616,0.575763583620185,0.5620364163798149,0.5779202779008614,0.5598797220991385
2026-03-26,STL,1,0.4568,0.0035224009376302267,0.4625938339578383,0.45100616604216165,0.4637037789768653,0.44989622102313465,0.465873103553996,0.44772689644600394
2026-03-26,TBR,1,0.5432,0.0035224009376302262,0.5489938339578384,0.5374061660421616,0.5501037789768654,0.5362962210231347,0.5522731035539961,0.534126896446004
2026-03-26,TEX,1,0.461,0.0035248505257048013,0.4667978631716674,0.45520213682833266,0.4679085800812685,0.45409141991873153,0.4700794132747402,0.45192058672525987
2026-03-26,WSN,1,0.3901,0.0034491584966070726,0.39577336086307463,0.3844266391369254,0.3968602264303202,0.3833397735696798,0.39898444352814516,0.38121555647185484
2026-03-27,ARI,2,0.78105,0.0049180030716451315,0.789139395189754,0.7729606048102461,0.7906891088962819,0.7714108911037182,0.793717936426887,0.768382063573113
2026-03-27,ATH,1,0.436,0.0035065388620033203,0.44176774316521245,0.43023225683478755,0.44287268987991657,0.4291273101200834,0.44503224555478116,0.42696775444521884
2026-03-27,ATL,1,0.54355,0.0035221854244926083,0.5493434794702723,0.5377565205297277,0.5504533565788774,0.5366466434211226,0.5526225484289409,0.5344774515710591
2026-03-27,CLE,2,0.8601,0.004967155436631385,0.8682702436355748,0.8519297563644251,0.8698354457614098,0.8503645542385901,0.8728945445289573,0.8473054554710426
2026-03-27,COL,1,0.44845,0.00351678095172462,0.45423458990363813,0.4426654100963619,0.45534276400689677,0.44155723599310326,0.4575086274296149,0.43939137257038513
2026-03-27,DET,2,1.04675,0.005028368134823166,1.0550209295642112,1.038479070435789,1.0566054204452624,1.0368945795547377,1.0597022179907092,1.033797782009291
2026-03-27,HOU,2,1.1426,0.004994447839897951,1.1508151356440761,1.134384864355924,1.1523889378888639,1.1328110621111362,1.1554648451010556,1.1297351548989445
2026-03-27,KCR,1,0.45645,0.0035221854244926083,0.4622434794702723,0.45065652052972777,0.46335335657887744,0.4495466434211226,0.4655225484289409,0.4473774515710591
2026-03-27,LAA,2,0.8574,0.004994447839897949,0.8656151356440761,0.849184864355924,0.8671889378888639,0.8476110621111362,0.8702648451010557,0.8445351548989444
2026-03-27,LAD,2,1.21895,0.004918003071645129,1.227039395189754,1.210860604810246,1.2285891088962817,1.2093108911037183,1.231617936426887,1.2062820635731129
2026-03-27,MIA,1,0.55155,0.003516780951724619,0.557334589903638,0.5457654100963619,0.5584427640068967,0.5446572359931032,0.5606086274296148,0.5424913725703852
2026-03-27,NYY,2,1.10395,0.004987831572756826,1.1121542528530721,1.0957457471469279,1.1137259702435551,1.0941740297564448,1.1167978027262735,1.0911021972737265
2026-03-27,SDP,2,0.95325,0.005028368134823165,0.9615209295642111,0.944979070435789,0.9631054204452623,0.9433945795547378,0.966202217990709,0.940297782009291
2026-03-27,SEA,2,1.1399,0.004967155436631383,1.1480702436355747,1.131729756364425,1.1496354457614097,1.13016455423859,1.1526945445289574,1.1271054554710425
2026-03-27,SFG,2,0.89605,0.00498783157275683,0.9042542528530721,0.8878457471469279,0.9058259702435552,0.8862740297564449,0.9088978027262734,0.8832021972737266
2026-03-27,TOR,1,0.564,0.003506538862003321,0.5697677431652124,0.5582322568347875,0.5708726898799166,0.5571273101200833,0.5730322455547812,0.5549677544452187
2026-03-28,ARI,3,1.1705,0.006062452075378256,1.1804718462844055,1.1605281537155947,1.1823821877257417,1.1586178122742585,1.1861158417071203,1.15488415829288
2026-03-28,ATH,2,0.87135,0.005014600301699944,0.8795982834939631,0.8631017165060368,0.8811784359881956,0.8615215640118044,0.8842667544027039,0.8584332455972961
2026-03-28,ATL,2,1.08325,0.005027149837310829,1.0915189256431292,1.0749810743568708,1.0931030326260156,1.0733969673739845,1.0961990798642764,1.0703009201357236
2026-03-28,BAL,2,1.10615,0.005019498843852053,1.1144063408787888,1.0978936591212112,1.1159880369543904,1.0963119630456095,1.1190793722111239,1.093220627788876
2026-03-28,BOS,2,1.1503,0.004977121064099648,1.158486635634061,1.1421133643659391,1.160054978032331,1.1405450219676692,1.1631202142842185,1.1374797857157817
2026-03-28,CHC,2,1.2163,0.004939325393894102,1.2244244672888402,1.2081755327111596,1.2259808998799564,1.2066191001200435,1.2290228590893555,1.2035771409106444
2026-03-28,CHW,2,0.86365,0.004993914379927003,0.8718642581805081,0.855435741819492,0.8734378923265337,0.8538621076734664,0.8765134709992303,0.8507865290007698
2026-03-28,CIN,2,0.8497,0.004977121064099645,0.8578866356340609,0.8415133643659392,0.859454978032331,0.8399450219676691,0.8625202142842183,0.8368797857157817
2026-03-28,CLE,3,1.27955,0.0061528028348173305,1.2896704600587665,1.2694295399412334,1.291609271960218,1.267490728039782,1.2953985698408812,1.2637014301591187
2026-03-28,COL,2,0.8925,0.005006839414445617,0.9007355179704144,0.8842644820295855,0.9023132249286889,0.882686775071311,0.9053967636818926,0.8796032363181073
