Team,Mean Wins,Mean Losses,Max Wins,Min Wins,St.Dev,Win Division (%),Make Wild Card (%),Make Playoffs (%),Win League (%),Win WS (%),Division,date
PIT,75,87,112,37,10.16583068436492,9.77,10.18,19.95,1.74,0.64,NL Central,2023-03-28 13:35:05.530061
SDP,93,69,128,50,10.024204071813555,48.86,31.18,80.05,18.57,9.79,NL West,2023-03-28 13:35:05.530061
SEA,82,80,122,36,10.195162002460446,18.59,21.39,39.98,5.53,2.6,AL West,2023-03-28 13:35:05.530061
SFG,79,83,115,40,10.157998819009627,8.46,23.15,31.61,3.1,1.47,NL West,2023-03-28 13:35:05.530061
STL,86,76,124,43,10.17220917940049,44.55,17.12,61.68,9.65,4.68,NL Central,2023-03-28 13:35:05.530061
TBR,86,76,121,38,10.15301484020965,18.47,35.96,54.43,8.69,4.52,AL East,2023-03-28 13:35:05.530061
TEX,84,78,123,44,10.176609360017869,22.75,22.99,45.73,6.71,3.17,AL West,2023-03-28 13:35:05.530061
TOR,90,72,132,50,10.154105560337973,31.87,37.49,69.37,14.79,7.99,AL East,2023-03-28 13:35:05.530061
WSN,66,96,107,30,9.882488126407132,0.59,3.23,3.82,0.16,0.04,NL East,2023-03-28 13:35:05.530061
ARI,77,85,127,39,10.159959862087057,5.16,16.93,22.1,2.0,0.89,NL West,2023-03-29 09:25:41.698171
ATL,92,70,129,51,10.136676704336129,40.9,35.62,76.52,17.25,9.28,NL East,2023-03-29 09:25:41.698171
BAL,77,85,120,38,10.17760830576324,3.65,14.62,18.27,2.02,0.81,AL East,2023-03-29 09:25:41.698171
BOS,82,80,122,43,10.284665209277518,9.71,26.33,36.05,4.75,2.29,AL East,2023-03-29 09:25:41.698171
CHC,77,85,116,36,10.213525939439632,11.95,11.36,23.3,2.37,0.97,NL Central,2023-03-29 09:25:41.698171
CHW,81,81,120,40,10.288420196488229,22.28,14.32,36.6,4.61,1.97,AL Central,2023-03-29 09:25:41.698171
CIN,69,93,109,32,10.06838165312361,3.1,3.5,6.6,0.29,0.12,NL Central,2023-03-29 09:25:41.698171
CLE,84,78,123,45,10.26496689009578,32.88,15.67,48.55,7.02,3.17,AL Central,2023-03-29 09:25:41.698171
COL,66,96,107,31,9.980758696347054,0.56,3.06,3.62,0.19,0.05,NL West,2023-03-29 09:25:41.698171
DET,69,93,110,30,10.123961246817666,3.48,3.34,6.82,0.46,0.2,AL Central,2023-03-29 09:25:41.698171
HOU,88,74,133,42,10.177441233212951,36.43,24.7,61.12,11.82,6.12,AL West,2023-03-29 09:25:41.698171
KCR,70,92,107,37,10.120492424573328,4.12,3.81,7.94,0.57,0.19,AL Central,2023-03-29 09:25:41.698171
LAA,84,78,127,43,10.282263147613548,20.98,22.8,43.78,6.78,3.19,AL West,2023-03-29 09:25:41.698171
LAD,91,71,126,50,10.23552307379203,36.83,35.23,72.06,14.44,7.37,NL West,2023-03-29 09:25:41.698171
MIA,79,83,123,40,10.278953012892469,6.4,21.13,27.52,2.81,1.24,NL East,2023-03-29 09:25:41.698171
MIL,84,78,127,43,10.255803540084658,30.55,18.24,48.8,6.28,2.96,NL Central,2023-03-29 09:25:41.698171
MIN,85,77,123,47,10.235106429841434,37.23,15.5,52.73,8.31,3.91,AL Central,2023-03-29 09:25:41.698171
NYM,90,72,129,53,10.102682187759337,34.83,37.54,72.36,14.17,7.27,NL East,2023-03-29 09:25:41.698171
