Name,Team,ShortName,W,L,ERA,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,playerid,.,date
"<a href=""statss.aspx?playerid=14107&position=P"">Kevin Gausman</a>",TOR,Blue Jays,13,10,3.73347,30,30,0,0,,175.0,723,159,79,73,22,193,41,1,6,1.13835,9.91512,2.10152,4.71807,1.14049,0.267318,0.0566584,0.2106600143015384,,0.234649,0.296116,0.718691,3.35155,3.90981,2.79499,12.0,58.41999816894531,14,AL,Kevin Gausman,14107,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=15689&position=P"">Luis Castillo</a>",SEA,Mariners,13,10,3.4198,31,31,0,0,,190.0,790,160,78,72,18,193,66,2,8,1.18863,9.12491,3.13913,2.90683,0.858958,0.244395,0.0840762,0.1603190302848816,,0.223461,0.281011,0.737406,3.49597,3.80885,3.89391,15.0,58.70000076293945,11,AL,Luis Castillo,15689,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=16137&position=P"">Carlos Rodón</a>",NYY,Yankees,9,6,3.20974,22,22,0,0,,127.0,515,96,49,45,13,160,38,1,5,1.05599,11.2901,2.70218,4.17816,0.939596,0.309895,0.0741702,0.235724963247776,,0.203917,0.277489,0.738856,2.98624,3.64118,2.95705,9.0,66.12000274658203,9,AL,Carlos Rodón,16137,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=17295&position=P"">Framber Valdez</a>",HOU,Astros,14,9,3.4052,30,30,0,0,,191.0,808,174,78,72,13,178,72,2,11,1.29281,8.3986,3.41207,2.46144,0.63541,0.220281,0.0894928,0.1307883858680725,,0.240624,0.301815,0.73914,3.48127,3.57384,3.96302,13.0,76.06999969482422,21,AL,Framber Valdez,17295,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=19291&position=P"">Zac Gallen</a>",ARI,Diamondbacks,12,11,3.68793,30,30,0,0,,176.0,737,155,78,72,19,179,56,1,9,1.19643,9.13658,2.86256,3.19175,0.970405,0.242926,0.0761106,0.1668151691555977,,0.230579,0.286832,0.721469,3.59244,3.47731,2.9686,12.0,72.04000091552734,15,NL,Zac Gallen,19291,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=26410&position=P"">Alek Manoah</a>",TOR,Blue Jays,13,10,3.63461,30,31,0,0,,189.0,787,162,82,76,21,174,56,1,13,1.14603,8.26352,2.64013,3.12997,1.01269,0.220998,0.0706072,0.1503909453749656,,0.224866,0.268051,0.719631,3.82693,3.44348,3.3691,12.0,67.52999877929688,14,AL,Alek Manoah,26410,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=18525&position=P"">Dylan Cease</a>",CHW,White Sox,12,11,3.82637,31,31,0,0,,180.0,759,148,82,77,22,210,73,2,8,1.2228,10.4749,3.61642,2.89648,1.0995,0.276592,0.0954927,0.1810997053980827,,0.218166,0.282115,0.728302,3.70739,3.39262,2.79464,13.0,48.09999847412109,4,AL,Dylan Cease,18525,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=17085&position=P"">Pablo López</a>",MIN,Twins,12,10,3.85743,29,29,0,0,,167.0,701,156,77,72,18,160,46,2,9,1.20982,8.5944,2.49045,3.45095,0.97047,0.227641,0.0659647,0.1616759598255157,,0.241436,0.294525,0.705704,3.59465,3.27302,2.4937,11.0,163.97999572753906,8,AL,Pablo López,17085,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=17606&position=P"">Cristian Javier</a>",HOU,Astros,13,10,3.67431,30,30,0,0,,171.0,710,129,75,70,24,207,69,1,8,1.15782,10.9098,3.63311,3.00287,1.2539,0.291701,0.0971407,0.1945603489875793,,0.203554,0.261254,0.745925,3.85152,3.20765,2.96942,11.0,53.209999084472656,21,AL,Cristian Javier,17606,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=2036&position=P"">Clayton Kershaw</a>",LAD,Dodgers,9,6,3.24482,21,21,0,0,,124.0,499,104,48,45,14,136,27,1,3,1.06107,9.89031,1.99751,4.95131,1.04966,0.273019,0.0551407,0.2178781777620315,,0.222121,0.28198,0.746844,3.17272,3.16589,2.87048,6.0,116.51000213623048,22,NL,Clayton Kershaw,2036,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=22250&position=P"">Logan Gilbert</a>",SEA,Mariners,11,11,4.07014,31,31,0,0,,179.0,750,169,87,81,23,167,47,2,7,1.20779,8.37121,2.36027,3.54672,1.15586,0.221963,0.0625825,0.1593800857663154,,0.243182,0.288769,0.69955,3.82872,3.15129,2.19969,14.0,108.0,11,AL,Logan Gilbert,22250,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=25436&position=P"">George Kirby</a>",SEA,Mariners,10,9,3.68004,29,29,0,0,,157.0,645,144,69,64,18,141,35,1,6,1.14415,8.12181,2.0082,4.04433,1.02426,0.21913,0.054182,0.164947934448719,,0.238903,0.284333,0.713066,3.57606,3.12974,2.71023,10.0,93.79000091552734,11,AL,George Kirby,25436,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=26378&position=P"">Nick Lodolo</a>",CIN,Reds,10,11,3.99151,28,28,0,0,,159.0,676,146,76,70,19,177,55,1,11,1.26869,10.0618,3.13661,3.20786,1.06657,0.262205,0.0817382,0.180466741323471,,0.239106,0.306927,0.716088,3.6631,2.97134,2.08839,11.0,131.92999267578125,18,NL,Nick Lodolo,26378,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=16511&position=P"">Jordan Montgomery</a>",STL,Cardinals,12,11,3.97744,31,31,0,0,,172.0,726,168,82,76,19,149,49,1,5,1.25754,7.78134,2.53917,3.06452,1.00815,0.205001,0.0668949,0.138105921447277,,0.249877,0.29498,0.708781,3.78135,2.96688,2.2817,10.0,167.72999572753906,28,NL,Jordan Montgomery,16511,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=17874&position=P"">Nestor Cortes</a>",NYY,Yankees,11,9,3.73343,27,27,0,0,,157.0,648,135,70,65,22,158,43,1,5,1.13253,9.07544,2.46961,3.67485,1.26799,0.244536,0.0665432,0.1779930889606475,,0.224857,0.268926,0.733199,3.84913,2.95804,2.60226,10.0,120.37000274658205,9,AL,Nestor Cortes,17874,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=21390&position=P"">Joe Ryan</a>",MIN,Twins,11,11,3.96777,29,29,0,0,,162.0,673,140,77,71,23,161,47,1,8,1.15554,8.92219,2.63887,3.38106,1.26856,0.238568,0.07056,0.1680077388882637,,0.226073,0.268962,0.710729,3.98518,2.94567,2.17362,10.0,135.64999389648438,8,AL,Joe Ryan,21390,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=13074&position=P"">Yu Darvish</a>",SDP,Padres,12,10,4.01769,28,29,0,0,,179.0,743,158,86,80,25,176,49,1,10,1.1607,8.88109,2.48348,3.57606,1.2584,0.237153,0.0663168,0.1708361282944679,,0.230975,0.275501,0.706356,3.94783,2.91812,2.29199,13.0,72.61000061035156,29,NL,Yu Darvish,13074,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=6562&position=P"">Alex Cobb</a>",SFG,Giants,10,10,3.90848,27,27,0,0,,148.0,635,150,70,64,13,139,49,1,6,1.34101,8.45425,2.97796,2.83894,0.767506,0.219285,0.077242,0.142043337225914,,0.258194,0.320278,0.712367,3.45673,2.89266,2.02235,9.0,217.63999938964844,30,NL,Alex Cobb,6562,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=12970&position=P"">Joe Musgrove</a>",SDP,Padres,12,9,3.83512,27,27,0,0,,162.0,678,146,74,69,19,152,46,2,10,1.18474,8.42491,2.5343,3.32436,1.06998,0.223826,0.067329,0.1564968898892402,,0.235376,0.2819,0.712767,3.82138,2.85391,2.49383,12.0,98.4800033569336,29,NL,Joe Musgrove,12970,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=14374&position=P"">Tyler Glasnow</a>",TBR,Rays,8,6,3.30964,19,19,0,0,,114.0,465,87,45,42,13,147,38,1,4,1.09221,11.6078,3.01461,3.85052,1.037,0.31689,0.0822981,0.2345923706889152,,0.204611,0.279636,0.747327,3.13817,2.84205,2.53992,9.0,147.77999877929688,12,AL,Tyler Glasnow,14374,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=13431&position=P"">Marcus Stroman</a>",CHC,Cubs,10,12,4.04838,29,30,0,0,,167.0,707,170,81,75,17,133,46,1,6,1.296,7.14844,2.48932,2.87164,0.892717,0.187666,0.0653517,0.1223148107528686,,0.260133,0.304171,0.698356,3.75406,2.8305,2.05834,10.0,261.8399963378906,17,NL,Marcus Stroman,13431,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=25385&position=P"">Drew Rasmussen</a>",TBR,Rays,11,11,3.78876,30,30,0,0,,162.0,674,149,73,68,18,139,46,1,6,1.20225,7.76566,2.54329,3.05339,1.00006,0.206942,0.0677745,0.1391677409410476,,0.238898,0.281171,0.714335,3.79106,2.82077,2.60094,9.0,153.1699981689453,12,AL,Drew Rasmussen,25385,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=25377&position=P"">Brady Singer</a>",KCR,Royals,10,12,4.12182,30,30,0,0,,178.0,761,177,88,81,19,159,56,1,11,1.31148,8.05139,2.83592,2.83908,0.977998,0.208821,0.0735522,0.1352684199810028,,0.254963,0.305616,0.703851,3.86423,2.8034,2.03238,12.0,182.0800018310547,7,AL,Brady Singer,25377,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=11486&position=P"">Robbie Ray</a>",SEA,Mariners,12,12,4.18296,31,31,0,0,,182.0,764,160,92,85,29,203,61,1,6,1.20842,10.0215,2.98875,3.35305,1.43987,0.265782,0.0792658,0.1865165680646896,,0.229155,0.280842,0.716711,4.06116,2.78337,1.86892,14.0,88.66000366210938,11,AL,Robbie Ray,11486,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=13543&position=P"">Blake Snell</a>",SDP,Padres,10,8,3.94981,26,26,0,0,,150.0,636,124,71,66,18,183,66,1,4,1.27155,11.0064,3.98635,2.76101,1.07904,0.288372,0.104444,0.1839276403188705,,0.219847,0.292108,0.721991,3.64034,2.77816,2.04399,11.0,107.29000091552734,29,NL,Blake Snell,13543,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=15423&position=P"">Andrew Heaney</a>",TEX,Rangers,9,9,3.84014,26,26,0,0,,139.0,577,120,64,59,20,168,41,1,6,1.15695,10.8883,2.63031,4.13955,1.31038,0.290773,0.0702425,0.220530167222023,,0.226248,0.291549,0.730359,3.60204,2.7375,2.08496,10.0,220.08999633789065,13,AL,Andrew Heaney,15423,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=4676&position=P"">Charlie Morton</a>",ATL,Braves,13,10,3.9634,29,29,0,0,,166.0,706,146,79,73,20,183,61,1,13,1.24766,9.93891,3.2964,3.01508,1.1109,0.259489,0.0860636,0.1734249293804168,,0.231109,0.293101,0.718666,3.83447,2.7324,2.21686,12.0,158.24000549316406,16,NL,Charlie Morton,4676,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=19447&position=P"">Patrick Sandoval</a>",LAA,Angels,11,10,3.91716,28,29,0,0,,160.0,683,148,75,70,17,154,62,1,6,1.3182,8.70375,3.49778,2.48837,0.93501,0.226289,0.0909389,0.1353503316640854,,0.24152,0.297238,0.723265,3.80354,2.68707,2.24669,10.0,202.72999572753903,1,AL,Patrick Sandoval,19447,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=12880&position=P"">Tyler Anderson</a>",LAA,Angels,10,11,4.22922,29,29,0,0,,171.0,717,167,87,80,24,139,41,2,5,1.2218,7.3491,2.18089,3.36977,1.2682,0.194404,0.0576907,0.1367136351764202,,0.249411,0.282376,0.698108,4.13073,2.63982,1.69842,9.0,274.8800048828125,1,AL,Tyler Anderson,12880,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=17677&position=P"">Jeffrey Springs</a>",TBR,Rays,10,10,3.95516,28,28,0,0,,148.0,620,136,71,65,20,148,42,1,5,1.20136,8.98299,2.56648,3.50012,1.23636,0.238769,0.0682175,0.1705518290400505,,0.237116,0.285448,0.718801,3.85107,2.63326,1.91672,9.0,149.24000549316406,12,AL,Jeffrey Springs,17677,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=19959&position=P"">Jesús Luzardo</a>",MIA,Marlins,9,10,4.1198,27,27,0,0,,150.0,644,139,74,69,18,164,58,1,7,1.31345,9.83875,3.49266,2.81698,1.06675,0.254696,0.0904148,0.1642815545201301,,0.239777,0.304747,0.713484,3.76535,2.58738,1.72898,11.0,143.3800048828125,20,NL,Jesús Luzardo,19959,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=9132&position=P"">Nathan Eovaldi</a>",TEX,Rangers,9,9,4.05976,26,26,0,0,,149.0,622,144,73,67,21,135,33,1,6,1.18833,8.15693,1.99002,4.09893,1.245,0.21754,0.0530724,0.1644675023853778,,0.247626,0.289687,0.703707,3.87892,2.55164,1.77028,11.0,239.25,13,AL,Nathan Eovaldi,9132,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=15890&position=P"">Luis Severino</a>",NYY,Yankees,9,8,3.69735,23,23,0,0,,124.0,516,110,55,51,14,128,38,1,5,1.20266,9.34453,2.78986,3.34947,0.990759,0.248501,0.0741914,0.1743101254105568,,0.23339,0.292397,0.722986,3.52693,2.53479,2.08576,8.0,120.5500030517578,9,AL,Luis Severino,15890,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=18679&position=P"">Freddy Peralta</a>",MIL,Brewers,9,8,3.84991,25,26,0,0,,133.0,559,111,61,57,16,141,49,1,7,1.20654,9.55692,3.33927,2.86198,1.07577,0.25308,0.0884285,0.1646517887711525,,0.221363,0.276122,0.718462,3.80683,2.52711,2.00969,9.0,144.02000427246094,23,NL,Freddy Peralta,18679,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=12768&position=P"">Sonny Gray</a>",MIN,Twins,9,10,3.91786,27,27,0,0,,140.0,592,126,65,61,15,134,49,1,7,1.25293,8.62079,3.16005,2.72805,0.942034,0.226381,0.0829828,0.1433987021446228,,0.235606,0.288287,0.709525,3.7681,2.51526,2.04223,7.0,209.3300018310547,8,AL,Sonny Gray,12768,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=2520&position=P"">Lance Lynn</a>",CHW,White Sox,10,11,4.13953,28,28,0,0,,164.0,691,155,82,76,24,156,44,1,7,1.21245,8.54722,2.43259,3.51363,1.3044,0.226044,0.0643333,0.1617103070020675,,0.242438,0.285584,0.708289,4.04268,2.51295,1.77701,12.0,129.80999755859375,4,AL,Lance Lynn,2520,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=11674&position=P"">Jameson Taillon</a>",CHC,Cubs,9,12,4.46521,29,29,0,0,,165.0,699,167,88,82,21,134,44,1,7,1.2842,7.35449,2.41142,3.04986,1.1735,0.192349,0.063068,0.1292808800935745,,0.258005,0.296142,0.679978,4.10142,2.49599,1.22717,11.0,244.0800018310547,17,NL,Jameson Taillon,11674,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=10603&position=P"">Chris Sale</a>",BOS,Red Sox,9,9,3.99143,25,25,0,0,,132.0,556,121,63,58,16,141,40,1,9,1.22455,9.64816,2.76342,3.49139,1.12256,0.253578,0.0726295,0.180948369204998,,0.238057,0.298328,0.708595,3.7101,2.48644,1.74369,8.0,131.55999755859375,3,AL,Chris Sale,10603,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=16358&position=P"">Tyler Mahle</a>",MIN,Twins,10,9,4.13986,28,28,0,0,,163.0,690,151,80,75,21,153,54,1,7,1.26547,8.49251,3.0154,2.81638,1.13914,0.222172,0.0788857,0.1432864069938659,,0.240576,0.287367,0.708211,4.00984,2.48028,1.92192,13.0,241.0599975585937,8,AL,Tyler Mahle,16358,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=19665&position=P"">Kyle Wright</a>",ATL,Braves,11,9,4.07289,28,28,0,0,,165.0,701,161,80,75,18,147,52,1,8,1.28941,8.01027,2.8387,2.82181,1.00709,0.209162,0.0741234,0.1350387930870056,,0.250407,0.298539,0.707195,3.88367,2.47565,2.04813,10.0,153.72999572753906,16,NL,Kyle Wright,19665,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=14916&position=P"">Jon Gray</a>",TEX,Rangers,10,11,4.15026,29,30,0,0,,164.0,695,152,82,76,21,161,56,1,7,1.26691,8.84674,3.06193,2.88927,1.1453,0.231746,0.0802092,0.1515363901853561,,0.240329,0.29116,0.706642,3.95782,2.45777,1.76563,12.0,202.6699981689453,13,AL,Jon Gray,14916,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=13164&position=P"">Eduardo Rodriguez</a>",DET,Tigers,9,12,4.19327,28,28,0,0,,155.0,661,154,78,72,18,129,48,1,6,1.30783,7.50479,2.79709,2.68307,1.01842,0.19527,0.0727787,0.1224917322397232,,0.254129,0.29697,0.700427,3.95661,2.43864,1.62771,10.0,317.44000244140625,6,AL,Eduardo Rodriguez,13164,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=sa3008130&position=P"">Grayson Rodriguez</a>",BAL,Orioles,7,7,3.63461,20,21,0,0,,107.0,450,96,47,43,11,114,34,1,5,1.20302,9.5639,2.82466,3.38586,0.913362,0.253889,0.0749853,0.1789040341973304,,0.23232,0.295766,0.723266,3.38094,2.41354,1.83872,5.0,999.0,2,AL,Grayson Rodriguez,sa3008130,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=14168&position=P"">José Berríos</a>",TOR,Blue Jays,11,10,4.19648,30,30,0,0,,170.0,716,166,85,79,23,145,42,1,9,1.22388,7.67847,2.236,3.43402,1.23804,0.20234,0.0589221,0.1434176862239837,,0.249321,0.286783,0.699623,4.1068,2.40375,1.84195,11.0,241.1499938964844,14,AL,José Berríos,14168,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=23735&position=P"">Luis Garcia</a>",HOU,Astros,11,10,4.10512,28,28,0,0,,159.0,665,142,78,72,24,159,50,1,5,1.21376,9.04848,2.85132,3.17344,1.33408,0.239684,0.075528,0.1641555726528167,,0.233289,0.278212,0.718736,4.07821,2.3881,1.87858,10.0,154.83999633789062,21,AL,Luis Garcia,23735,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=12304&position=P"">Chris Bassitt</a>",TOR,Blue Jays,12,10,4.07279,29,29,0,0,,174.0,732,162,85,79,22,147,50,1,12,1.22084,7.62567,2.58911,2.94528,1.16356,0.200908,0.0682135,0.1326942518353462,,0.241621,0.278591,0.70513,4.1643,2.37251,2.09325,13.0,165.22000122070312,14,AL,Chris Bassitt,12304,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=13774&position=P"">Zach Eflin</a>",TBR,Rays,9,9,3.9598,26,26,0,0,,147.0,611,143,70,64,18,116,32,1,6,1.19067,7.13275,1.9426,3.67176,1.11463,0.190165,0.0517911,0.1383735351264476,,0.24919,0.284075,0.70051,3.90422,2.35928,1.95866,10.0,271.8999938964844,12,AL,Zach Eflin,13774,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=15474&position=P"">Lucas Giolito</a>",CHW,White Sox,11,12,4.316,30,30,0,0,,172.0,730,160,88,82,25,165,57,2,7,1.26478,8.66254,2.98082,2.90609,1.30242,0.22657,0.0779638,0.1486058682203292,,0.240861,0.284913,0.706045,4.18518,2.32055,1.65786,12.0,140.8000030517578,4,AL,Lucas Giolito,15474,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=6902&position=P"">Martín Pérez</a>",TEX,Rangers,11,12,4.2388,30,30,0,0,,172.0,735,170,87,81,19,138,58,2,7,1.32682,7.22559,3.03069,2.38414,1.00843,0.187404,0.0786043,0.1087993830442428,,0.253401,0.293434,0.700196,4.09404,2.31205,1.76048,12.0,318.1700134277344,13,AL,Martín Pérez,6902,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=15873&position=P"">Sean Manaea</a>",SFG,Giants,10,11,4.40971,28,29,0,0,,159.0,679,161,84,78,22,144,47,1,6,1.30793,8.14449,2.64012,3.08489,1.25484,0.211223,0.0684701,0.1427526921033859,,0.256779,0.30107,0.700696,4.11441,2.29428,1.25127,11.0,286.3099975585937,30,NL,Sean Manaea,15873,,2023-04-04 22:27:18.126439
