START DATE,away,home,SUBJECT,START TIME,datetime
2025-06-05,PHI,TOR,Phillies at Blue Jays,03:07 PM,2025-06-05 19:07:00+00:00
2025-06-06,TOR,MIN,Blue Jays at Twins,08:10 PM,2025-06-07 00:10:00+00:00
2025-06-07,TOR,MIN,Blue Jays at Twins,02:10 PM,2025-06-07 18:10:00+00:00
2025-06-08,TOR,MIN,Blue Jays at Twins,02:10 PM,2025-06-08 18:10:00+00:00
2025-06-09,TOR,STL,Blue Jays at Cardinals,07:45 PM,2025-06-09 23:45:00+00:00
2025-06-10,TOR,STL,Blue Jays at Cardinals,07:45 PM,2025-06-10 23:45:00+00:00
2025-06-11,TOR,STL,Blue Jays at Cardinals,02:15 PM,2025-06-11 18:15:00+00:00
2025-06-13,TOR,PHI,Blue Jays at Phillies,06:45 PM,2025-06-13 22:45:00+00:00
2025-06-14,TOR,PHI,Blue Jays at Phillies,04:05 PM,2025-06-14 20:05:00+00:00
2025-06-15,TOR,PHI,Blue Jays at Phillies,01:35 PM,2025-06-15 17:35:00+00:00
2025-06-17,ARI,TOR,D-backs at Blue Jays,07:07 PM,2025-06-17 23:07:00+00:00
2025-06-18,ARI,TOR,D-backs at Blue Jays,07:07 PM,2025-06-18 23:07:00+00:00
2025-06-19,ARI,TOR,D-backs at Blue Jays,03:07 PM,2025-06-19 19:07:00+00:00
2025-06-20,CHW,TOR,White Sox at Blue Jays,07:07 PM,2025-06-20 23:07:00+00:00
2025-06-21,CHW,TOR,White Sox at Blue Jays,03:07 PM,2025-06-21 19:07:00+00:00
2025-06-22,CHW,TOR,White Sox at Blue Jays,01:37 PM,2025-06-22 17:37:00+00:00
2025-06-24,TOR,CLE,Blue Jays at Guardians,12:00 AM,2025-06-24 04:00:00+00:00
2025-06-25,TOR,CLE,Blue Jays at Guardians,12:00 AM,2025-06-25 04:00:00+00:00
2025-06-26,TOR,CLE,Blue Jays at Guardians,12:00 AM,2025-06-26 04:00:00+00:00
2025-06-27,TOR,BOS,Blue Jays at Red Sox,07:10 PM,2025-06-27 23:10:00+00:00
2025-06-28,TOR,BOS,Blue Jays at Red Sox,04:10 PM,2025-06-28 20:10:00+00:00
2025-06-29,TOR,BOS,Blue Jays at Red Sox,01:35 PM,2025-06-29 17:35:00+00:00
2025-06-30,NYY,TOR,Yankees at Blue Jays,07:07 PM,2025-06-30 23:07:00+00:00
2025-07-01,NYY,TOR,Yankees at Blue Jays,03:07 PM,2025-07-01 19:07:00+00:00
2025-07-02,NYY,TOR,Yankees at Blue Jays,07:07 PM,2025-07-02 23:07:00+00:00
2025-07-03,NYY,TOR,Yankees at Blue Jays,07:07 PM,2025-07-03 23:07:00+00:00
2025-07-04,LAA,TOR,Angels at Blue Jays,07:07 PM,2025-07-04 23:07:00+00:00
2025-07-05,LAA,TOR,Angels at Blue Jays,03:07 PM,2025-07-05 19:07:00+00:00
2025-07-06,LAA,TOR,Angels at Blue Jays,01:37 PM,2025-07-06 17:37:00+00:00
2025-07-07,TOR,CHW,Blue Jays at White Sox,12:00 AM,2025-07-07 04:00:00+00:00
2025-07-08,TOR,CHW,Blue Jays at White Sox,12:00 AM,2025-07-08 04:00:00+00:00
2025-07-09,TOR,CHW,Blue Jays at White Sox,12:00 AM,2025-07-09 04:00:00+00:00
2025-07-11,TOR,ATH,Blue Jays at Athletics,10:05 PM,2025-07-12 02:05:00+00:00
2025-07-12,TOR,ATH,Blue Jays at Athletics,10:05 PM,2025-07-13 02:05:00+00:00
2025-07-13,TOR,ATH,Blue Jays at Athletics,04:05 PM,2025-07-13 20:05:00+00:00
2025-07-18,SFG,TOR,Giants at Blue Jays,07:07 PM,2025-07-18 23:07:00+00:00
2025-07-19,SFG,TOR,Giants at Blue Jays,03:07 PM,2025-07-19 19:07:00+00:00
2025-07-20,SFG,TOR,Giants at Blue Jays,01:37 PM,2025-07-20 17:37:00+00:00
2025-07-21,NYY,TOR,Yankees at Blue Jays,07:07 PM,2025-07-21 23:07:00+00:00
2025-07-22,NYY,TOR,Yankees at Blue Jays,07:07 PM,2025-07-22 23:07:00+00:00
2025-07-23,NYY,TOR,Yankees at Blue Jays,07:07 PM,2025-07-23 23:07:00+00:00
2025-07-24,TOR,DET,Blue Jays at Tigers,06:40 PM,2025-07-24 22:40:00+00:00
2025-07-25,TOR,DET,Blue Jays at Tigers,07:10 PM,2025-07-25 23:10:00+00:00
2025-07-26,TOR,DET,Blue Jays at Tigers,06:10 PM,2025-07-26 22:10:00+00:00
2025-07-27,TOR,DET,Blue Jays at Tigers,01:40 PM,2025-07-27 17:40:00+00:00
2025-07-28,TOR,BAL,Blue Jays at Orioles,06:35 PM,2025-07-28 22:35:00+00:00
2025-07-29,TOR,BAL,Blue Jays at Orioles,06:35 PM,2025-07-29 22:35:00+00:00
2025-07-30,TOR,BAL,Blue Jays at Orioles,12:35 PM,2025-07-30 16:35:00+00:00
2025-08-01,KCR,TOR,Royals at Blue Jays,07:07 PM,2025-08-01 23:07:00+00:00
2025-08-02,KCR,TOR,Royals at Blue Jays,03:07 PM,2025-08-02 19:07:00+00:00
2025-08-03,KCR,TOR,Royals at Blue Jays,01:37 PM,2025-08-03 17:37:00+00:00
2025-08-04,TOR,COL,Blue Jays at Rockies,08:40 PM,2025-08-05 00:40:00+00:00
2025-08-05,TOR,COL,Blue Jays at Rockies,08:40 PM,2025-08-06 00:40:00+00:00
2025-08-06,TOR,COL,Blue Jays at Rockies,03:10 PM,2025-08-06 19:10:00+00:00
2025-08-08,TOR,LAD,Blue Jays at Dodgers,10:10 PM,2025-08-09 02:10:00+00:00
2025-08-09,TOR,LAD,Blue Jays at Dodgers,09:10 PM,2025-08-10 01:10:00+00:00
2025-08-10,TOR,LAD,Blue Jays at Dodgers,04:10 PM,2025-08-10 20:10:00+00:00
2025-08-12,CHC,TOR,Cubs at Blue Jays,07:07 PM,2025-08-12 23:07:00+00:00
2025-08-13,CHC,TOR,Cubs at Blue Jays,07:07 PM,2025-08-13 23:07:00+00:00
2025-08-14,CHC,TOR,Cubs at Blue Jays,03:07 PM,2025-08-14 19:07:00+00:00
2025-08-15,TEX,TOR,Rangers at Blue Jays,07:07 PM,2025-08-15 23:07:00+00:00
2025-08-16,TEX,TOR,Rangers at Blue Jays,03:07 PM,2025-08-16 19:07:00+00:00
2025-08-17,TEX,TOR,Rangers at Blue Jays,01:37 PM,2025-08-17 17:37:00+00:00
2025-08-18,TOR,PIT,Blue Jays at Pirates,06:40 PM,2025-08-18 22:40:00+00:00
2025-08-19,TOR,PIT,Blue Jays at Pirates,06:40 PM,2025-08-19 22:40:00+00:00
2025-08-20,TOR,PIT,Blue Jays at Pirates,12:35 PM,2025-08-20 16:35:00+00:00
2025-08-22,TOR,MIA,Blue Jays at Marlins,07:10 PM,2025-08-22 23:10:00+00:00
2025-08-23,TOR,MIA,Blue Jays at Marlins,04:10 PM,2025-08-23 20:10:00+00:00
