START DATE,away,home,SUBJECT
2022-04-04,TBR,TOR,Rays at Blue Jays
2022-04-05,TBR,TOR,Rays at Blue Jays
2022-04-06,TBR,TOR,Rays at Blue Jays
2022-04-08,TEX,TOR,Rangers at Blue Jays
2022-04-09,TEX,TOR,Rangers at Blue Jays
2022-04-10,TEX,TOR,Rangers at Blue Jays
2022-04-15,OAK,TOR,Athletics at Blue Jays
2022-04-16,OAK,TOR,Athletics at Blue Jays
2022-04-17,OAK,TOR,Athletics at Blue Jays
2022-04-25,BOS,TOR,Red Sox at Blue Jays
2022-04-26,BOS,TOR,Red Sox at Blue Jays
2022-04-27,BOS,TOR,Red Sox at Blue Jays
2022-04-28,BOS,TOR,Red Sox at Blue Jays
2022-04-29,HOU,TOR,Astros at Blue Jays
2022-04-30,HOU,TOR,Astros at Blue Jays
2022-05-01,HOU,TOR,Astros at Blue Jays
2022-05-02,NYY,TOR,Yankees at Blue Jays
2022-05-03,NYY,TOR,Yankees at Blue Jays
2022-05-04,NYY,TOR,Yankees at Blue Jays
2022-05-16,SEA,TOR,Mariners at Blue Jays
2022-05-17,SEA,TOR,Mariners at Blue Jays
2022-05-18,SEA,TOR,Mariners at Blue Jays
2022-05-20,CIN,TOR,Reds at Blue Jays
2022-05-21,CIN,TOR,Reds at Blue Jays
2022-05-22,CIN,TOR,Reds at Blue Jays
2022-05-31,CHW,TOR,White Sox at Blue Jays
2022-06-01,CHW,TOR,White Sox at Blue Jays
2022-06-02,CHW,TOR,White Sox at Blue Jays
2022-06-03,MIN,TOR,Twins at Blue Jays
2022-06-04,MIN,TOR,Twins at Blue Jays
2022-06-05,MIN,TOR,Twins at Blue Jays
2022-06-13,BAL,TOR,Orioles at Blue Jays
2022-06-14,BAL,TOR,Orioles at Blue Jays
2022-06-15,BAL,TOR,Orioles at Blue Jays
2022-06-16,BAL,TOR,Orioles at Blue Jays
2022-06-17,NYY,TOR,Yankees at Blue Jays
2022-06-18,NYY,TOR,Yankees at Blue Jays
2022-06-19,NYY,TOR,Yankees at Blue Jays
2022-06-27,BOS,TOR,Red Sox at Blue Jays
2022-06-28,BOS,TOR,Red Sox at Blue Jays
2022-06-29,BOS,TOR,Red Sox at Blue Jays
2022-06-30,TBR,TOR,Rays at Blue Jays
2022-07-01,TBR,TOR,Rays at Blue Jays
2022-07-02,TBR,TOR,Rays at Blue Jays
2022-07-03,TBR,TOR,Rays at Blue Jays
2022-07-12,PHI,TOR,Phillies at Blue Jays
2022-07-13,PHI,TOR,Phillies at Blue Jays
2022-07-14,KCR,TOR,Royals at Blue Jays
2022-07-15,KCR,TOR,Royals at Blue Jays
2022-07-16,KCR,TOR,Royals at Blue Jays
2022-07-17,KCR,TOR,Royals at Blue Jays
2022-07-26,STL,TOR,Cardinals at Blue Jays
2022-07-27,STL,TOR,Cardinals at Blue Jays
2022-07-28,DET,TOR,Tigers at Blue Jays
2022-07-29,DET,TOR,Tigers at Blue Jays
2022-07-30,DET,TOR,Tigers at Blue Jays
2022-07-31,DET,TOR,Tigers at Blue Jays
