START DATE,away,home,SUBJECT
2023-05-17,SEA,BOS,Mariners at Red Sox
2023-05-30,CIN,BOS,Reds at Red Sox
2023-05-31,CIN,BOS,Reds at Red Sox
2023-06-01,CIN,BOS,Reds at Red Sox
2023-06-02,TBR,BOS,Rays at Red Sox
2023-06-03,TBR,BOS,Rays at Red Sox
2023-06-03,TBR,BOS,Rays at Red Sox
2023-06-04,TBR,BOS,Rays at Red Sox
2023-06-12,COL,BOS,Rockies at Red Sox
2023-06-13,COL,BOS,Rockies at Red Sox
2023-06-14,COL,BOS,Rockies at Red Sox
2023-06-16,NYY,BOS,Yankees at Red Sox
2023-06-17,NYY,BOS,Yankees at Red Sox
2023-06-18,NYY,BOS,Yankees at Red Sox
2023-06-27,MIA,BOS,Marlins at Red Sox
2023-06-28,MIA,BOS,Marlins at Red Sox
2023-06-29,MIA,BOS,Marlins at Red Sox
2023-07-04,TEX,BOS,Rangers at Red Sox
2023-07-05,TEX,BOS,Rangers at Red Sox
2023-07-06,TEX,BOS,Rangers at Red Sox
2023-07-07,OAK,BOS,Athletics at Red Sox
2023-07-08,OAK,BOS,Athletics at Red Sox
2023-07-09,OAK,BOS,Athletics at Red Sox
2023-07-21,NYM,BOS,Mets at Red Sox
2023-07-22,NYM,BOS,Mets at Red Sox
2023-07-23,NYM,BOS,Mets at Red Sox
2023-07-25,ATL,BOS,Braves at Red Sox
2023-07-26,ATL,BOS,Braves at Red Sox
2023-08-04,TOR,BOS,Blue Jays at Red Sox
2023-08-05,TOR,BOS,Blue Jays at Red Sox
2023-08-06,TOR,BOS,Blue Jays at Red Sox
2023-08-07,KCR,BOS,Royals at Red Sox
2023-08-08,KCR,BOS,Royals at Red Sox
2023-08-09,KCR,BOS,Royals at Red Sox
2023-08-10,KCR,BOS,Royals at Red Sox
2023-08-11,DET,BOS,Tigers at Red Sox
2023-08-12,DET,BOS,Tigers at Red Sox
2023-08-13,DET,BOS,Tigers at Red Sox
2023-08-25,LAD,BOS,Dodgers at Red Sox
2023-08-26,LAD,BOS,Dodgers at Red Sox
2023-08-27,LAD,BOS,Dodgers at Red Sox
2023-08-28,HOU,BOS,Astros at Red Sox
2023-08-29,HOU,BOS,Astros at Red Sox
2023-08-30,HOU,BOS,Astros at Red Sox
2023-09-08,BAL,BOS,Orioles at Red Sox
2023-09-09,BAL,BOS,Orioles at Red Sox
2023-09-10,BAL,BOS,Orioles at Red Sox
2023-09-11,NYY,BOS,Yankees at Red Sox
2023-09-12,NYY,BOS,Yankees at Red Sox
2023-09-13,NYY,BOS,Yankees at Red Sox
2023-09-14,NYY,BOS,Yankees at Red Sox
2023-09-22,CHW,BOS,White Sox at Red Sox
2023-09-23,CHW,BOS,White Sox at Red Sox
2023-09-24,CHW,BOS,White Sox at Red Sox
2023-09-26,TBR,BOS,Rays at Red Sox
2023-09-27,TBR,BOS,Rays at Red Sox
2023-03-30,SFG,NYY,Giants at Yankees
2023-04-01,SFG,NYY,Giants at Yankees
2023-04-02,SFG,NYY,Giants at Yankees
2023-04-03,PHI,NYY,Phillies at Yankees
2023-04-04,PHI,NYY,Phillies at Yankees
2023-04-05,PHI,NYY,Phillies at Yankees
2023-04-13,MIN,NYY,Twins at Yankees
2023-04-14,MIN,NYY,Twins at Yankees
2023-04-15,MIN,NYY,Twins at Yankees
2023-04-16,MIN,NYY,Twins at Yankees
2023-04-18,LAA,NYY,Angels at Yankees
2023-04-19,LAA,NYY,Angels at Yankees
2023-04-20,LAA,NYY,Angels at Yankees
2023-04-21,TOR,NYY,Blue Jays at Yankees
2023-04-22,TOR,NYY,Blue Jays at Yankees
2023-04-23,TOR,NYY,Blue Jays at Yankees
2023-05-01,CLE,NYY,Guardians at Yankees
2023-05-02,CLE,NYY,Guardians at Yankees
2023-05-03,CLE,NYY,Guardians at Yankees
2023-05-08,OAK,NYY,Athletics at Yankees
2023-05-09,OAK,NYY,Athletics at Yankees
2023-05-10,OAK,NYY,Athletics at Yankees
2023-05-11,TBR,NYY,Rays at Yankees
2023-05-12,TBR,NYY,Rays at Yankees
2023-05-13,TBR,NYY,Rays at Yankees
2023-05-14,TBR,NYY,Rays at Yankees
2023-05-23,BAL,NYY,Orioles at Yankees
2023-05-24,BAL,NYY,Orioles at Yankees
2023-05-25,BAL,NYY,Orioles at Yankees
2023-05-26,SDP,NYY,Padres at Yankees
2023-05-27,SDP,NYY,Padres at Yankees
2023-05-28,SDP,NYY,Padres at Yankees
2023-06-06,CHW,NYY,White Sox at Yankees
2023-06-07,CHW,NYY,White Sox at Yankees
2023-06-08,CHW,NYY,White Sox at Yankees
2023-06-09,BOS,NYY,Red Sox at Yankees
2023-06-10,BOS,NYY,Red Sox at Yankees
2023-06-11,BOS,NYY,Red Sox at Yankees
2023-06-20,SEA,NYY,Mariners at Yankees
2023-06-21,SEA,NYY,Mariners at Yankees
2023-06-22,SEA,NYY,Mariners at Yankees
2023-06-23,TEX,NYY,Rangers at Yankees
2023-06-24,TEX,NYY,Rangers at Yankees
2023-06-25,TEX,NYY,Rangers at Yankees
2023-07-03,BAL,NYY,Orioles at Yankees
2023-07-04,BAL,NYY,Orioles at Yankees
2023-07-05,BAL,NYY,Orioles at Yankees
2023-07-06,BAL,NYY,Orioles at Yankees
2023-07-07,CHC,NYY,Cubs at Yankees
2023-07-08,CHC,NYY,Cubs at Yankees
2023-07-09,CHC,NYY,Cubs at Yankees
2023-07-21,KCR,NYY,Royals at Yankees
2023-07-22,KCR,NYY,Royals at Yankees
2023-07-23,KCR,NYY,Royals at Yankees
2023-07-25,NYM,NYY,Mets at Yankees
2023-07-26,NYM,NYY,Mets at Yankees
2023-07-31,TBR,NYY,Rays at Yankees
2023-08-01,TBR,NYY,Rays at Yankees
2023-08-02,TBR,NYY,Rays at Yankees
2023-08-03,HOU,NYY,Astros at Yankees
2023-08-04,HOU,NYY,Astros at Yankees
2023-08-05,HOU,NYY,Astros at Yankees
2023-08-06,HOU,NYY,Astros at Yankees
2023-08-18,BOS,NYY,Red Sox at Yankees
2023-08-19,BOS,NYY,Red Sox at Yankees
2023-08-20,BOS,NYY,Red Sox at Yankees
2023-08-22,WSN,NYY,Nationals at Yankees
2023-08-23,WSN,NYY,Nationals at Yankees
2023-08-24,WSN,NYY,Nationals at Yankees
2023-09-05,DET,NYY,Tigers at Yankees
2023-09-06,DET,NYY,Tigers at Yankees
2023-09-07,DET,NYY,Tigers at Yankees
2023-09-08,MIL,NYY,Brewers at Yankees
2023-09-09,MIL,NYY,Brewers at Yankees
2023-09-10,MIL,NYY,Brewers at Yankees
2023-09-19,TOR,NYY,Blue Jays at Yankees
2023-09-20,TOR,NYY,Blue Jays at Yankees
2023-09-21,TOR,NYY,Blue Jays at Yankees
2023-09-22,ARI,NYY,D-backs at Yankees
2023-09-23,ARI,NYY,D-backs at Yankees
2023-09-24,ARI,NYY,D-backs at Yankees
2023-04-07,SEA,CLE,Mariners at Guardians
2023-04-08,SEA,CLE,Mariners at Guardians
2023-04-09,SEA,CLE,Mariners at Guardians
2023-04-10,NYY,CLE,Yankees at Guardians
2023-04-11,NYY,CLE,Yankees at Guardians
2023-04-12,NYY,CLE,Yankees at Guardians
2023-04-21,MIA,CLE,Marlins at Guardians
2023-04-22,MIA,CLE,Marlins at Guardians
2023-04-23,MIA,CLE,Marlins at Guardians
2023-04-24,COL,CLE,Rockies at Guardians
2023-04-25,COL,CLE,Rockies at Guardians
2023-04-26,COL,CLE,Rockies at Guardians
2023-05-05,MIN,CLE,Twins at Guardians
2023-05-06,MIN,CLE,Twins at Guardians
2023-05-07,MIN,CLE,Twins at Guardians
2023-05-08,DET,CLE,Tigers at Guardians
2023-05-09,DET,CLE,Tigers at Guardians
2023-05-10,DET,CLE,Tigers at Guardians
2023-05-12,LAA,CLE,Angels at Guardians
2023-05-13,LAA,CLE,Angels at Guardians
2023-05-14,LAA,CLE,Angels at Guardians
2023-05-22,CHW,CLE,White Sox at Guardians
2023-05-23,CHW,CLE,White Sox at Guardians
2023-05-24,CHW,CLE,White Sox at Guardians
2023-05-26,STL,CLE,Cardinals at Guardians
2023-05-27,STL,CLE,Cardinals at Guardians
2023-05-28,STL,CLE,Cardinals at Guardians
2023-06-06,BOS,CLE,Red Sox at Guardians
2023-06-07,BOS,CLE,Red Sox at Guardians
2023-06-08,BOS,CLE,Red Sox at Guardians
2023-06-09,HOU,CLE,Astros at Guardians
2023-06-10,HOU,CLE,Astros at Guardians
2023-06-11,HOU,CLE,Astros at Guardians
2023-06-20,OAK,CLE,Athletics at Guardians
2023-06-21,OAK,CLE,Athletics at Guardians
2023-06-22,OAK,CLE,Athletics at Guardians
2023-06-23,MIL,CLE,Brewers at Guardians
2023-06-24,MIL,CLE,Brewers at Guardians
2023-06-25,MIL,CLE,Brewers at Guardians
2023-07-03,ATL,CLE,Braves at Guardians
2023-07-04,ATL,CLE,Braves at Guardians
2023-07-05,ATL,CLE,Braves at Guardians
2023-07-06,KCR,CLE,Royals at Guardians
2023-07-07,KCR,CLE,Royals at Guardians
2023-07-08,KCR,CLE,Royals at Guardians
2023-07-09,KCR,CLE,Royals at Guardians
2023-07-21,PHI,CLE,Phillies at Guardians
2023-07-22,PHI,CLE,Phillies at Guardians
2023-07-23,PHI,CLE,Phillies at Guardians
2023-07-24,KCR,CLE,Royals at Guardians
2023-07-25,KCR,CLE,Royals at Guardians
2023-07-26,KCR,CLE,Royals at Guardians
2023-08-04,CHW,CLE,White Sox at Guardians
2023-08-05,CHW,CLE,White Sox at Guardians
2023-08-06,CHW,CLE,White Sox at Guardians
2023-08-07,TOR,CLE,Blue Jays at Guardians
2023-08-08,TOR,CLE,Blue Jays at Guardians
2023-08-09,TOR,CLE,Blue Jays at Guardians
2023-08-10,TOR,CLE,Blue Jays at Guardians
2023-08-17,DET,CLE,Tigers at Guardians
2023-08-18,DET,CLE,Tigers at Guardians
2023-08-19,DET,CLE,Tigers at Guardians
2023-08-20,DET,CLE,Tigers at Guardians
2023-08-22,LAD,CLE,Dodgers at Guardians
2023-08-23,LAD,CLE,Dodgers at Guardians
2023-08-24,LAD,CLE,Dodgers at Guardians
2023-09-01,TBR,CLE,Rays at Guardians
2023-09-02,TBR,CLE,Rays at Guardians
2023-09-03,TBR,CLE,Rays at Guardians
2023-09-04,MIN,CLE,Twins at Guardians
2023-09-05,MIN,CLE,Twins at Guardians
2023-09-06,MIN,CLE,Twins at Guardians
2023-09-15,TEX,CLE,Rangers at Guardians
2023-09-16,TEX,CLE,Rangers at Guardians
2023-09-17,TEX,CLE,Rangers at Guardians
2023-09-21,BAL,CLE,Orioles at Guardians
2023-09-22,BAL,CLE,Orioles at Guardians
2023-09-23,BAL,CLE,Orioles at Guardians
2023-09-24,BAL,CLE,Orioles at Guardians
2023-09-26,CIN,CLE,Reds at Guardians
2023-09-27,CIN,CLE,Reds at Guardians
2023-03-30,MIN,KCR,Twins at Royals
2023-04-01,MIN,KCR,Twins at Royals
2023-04-02,MIN,KCR,Twins at Royals
2023-04-03,TOR,KCR,Blue Jays at Royals
2023-04-04,TOR,KCR,Blue Jays at Royals
2023-04-05,TOR,KCR,Blue Jays at Royals
2023-04-06,TOR,KCR,Blue Jays at Royals
2023-04-14,ATL,KCR,Braves at Royals
2023-04-15,ATL,KCR,Braves at Royals
2023-04-16,ATL,KCR,Braves at Royals
2023-04-17,TEX,KCR,Rangers at Royals
2023-04-18,TEX,KCR,Rangers at Royals
2023-04-19,TEX,KCR,Rangers at Royals
2023-05-02,BAL,KCR,Orioles at Royals
2023-05-03,BAL,KCR,Orioles at Royals
2023-05-04,BAL,KCR,Orioles at Royals
2023-05-05,OAK,KCR,Athletics at Royals
2023-05-06,OAK,KCR,Athletics at Royals
2023-05-07,OAK,KCR,Athletics at Royals
2023-05-08,CHW,KCR,White Sox at Royals
2023-05-09,CHW,KCR,White Sox at Royals
2023-05-10,CHW,KCR,White Sox at Royals
2023-05-11,CHW,KCR,White Sox at Royals
2023-05-22,DET,KCR,Tigers at Royals
2023-05-23,DET,KCR,Tigers at Royals
2023-05-24,DET,KCR,Tigers at Royals
2023-05-26,WSN,KCR,Nationals at Royals
2023-05-27,WSN,KCR,Nationals at Royals
2023-05-28,WSN,KCR,Nationals at Royals
2023-06-02,COL,KCR,Rockies at Royals
2023-06-03,COL,KCR,Rockies at Royals
2023-06-04,COL,KCR,Rockies at Royals
2023-06-12,CIN,KCR,Reds at Royals
2023-06-13,CIN,KCR,Reds at Royals
2023-06-14,CIN,KCR,Reds at Royals
2023-06-16,LAA,KCR,Angels at Royals
2023-06-17,LAA,KCR,Angels at Royals
2023-06-18,LAA,KCR,Angels at Royals
2023-06-27,CLE,KCR,Guardians at Royals
2023-06-28,CLE,KCR,Guardians at Royals
2023-06-29,CLE,KCR,Guardians at Royals
2023-06-30,LAD,KCR,Dodgers at Royals
2023-07-01,LAD,KCR,Dodgers at Royals
2023-07-02,LAD,KCR,Dodgers at Royals
2023-07-14,TBR,KCR,Rays at Royals
2023-07-15,TBR,KCR,Rays at Royals
2023-07-16,TBR,KCR,Rays at Royals
2023-07-17,DET,KCR,Tigers at Royals
2023-07-18,DET,KCR,Tigers at Royals
2023-07-19,DET,KCR,Tigers at Royals
2023-07-20,DET,KCR,Tigers at Royals
2023-07-28,MIN,KCR,Twins at Royals
2023-07-29,MIN,KCR,Twins at Royals
2023-07-30,MIN,KCR,Twins at Royals
2023-08-01,NYM,KCR,Mets at Royals
2023-08-02,NYM,KCR,Mets at Royals
2023-08-03,NYM,KCR,Mets at Royals
2023-08-11,STL,KCR,Cardinals at Royals
2023-08-12,STL,KCR,Cardinals at Royals
2023-08-14,SEA,KCR,Mariners at Royals
2023-08-15,SEA,KCR,Mariners at Royals
2023-08-16,SEA,KCR,Mariners at Royals
2023-08-17,SEA,KCR,Mariners at Royals
2023-08-28,PIT,KCR,Pirates at Royals
2023-08-29,PIT,KCR,Pirates at Royals
2023-08-30,PIT,KCR,Pirates at Royals
2023-09-01,BOS,KCR,Red Sox at Royals
2023-09-02,BOS,KCR,Red Sox at Royals
2023-09-03,BOS,KCR,Red Sox at Royals
2023-09-05,CHW,KCR,White Sox at Royals
2023-09-06,CHW,KCR,White Sox at Royals
2023-09-07,CHW,KCR,White Sox at Royals
2023-09-15,HOU,KCR,Astros at Royals
