START DATE,away,home,SUBJECT
2023-04-11,DET,TOR,Tigers at Blue Jays
2023-04-12,DET,TOR,Tigers at Blue Jays
2023-04-13,DET,TOR,Tigers at Blue Jays
2023-04-14,TBR,TOR,Rays at Blue Jays
2023-04-15,TBR,TOR,Rays at Blue Jays
2023-04-16,TBR,TOR,Rays at Blue Jays
2023-04-24,CHW,TOR,White Sox at Blue Jays
2023-04-25,CHW,TOR,White Sox at Blue Jays
2023-04-26,CHW,TOR,White Sox at Blue Jays
2023-04-28,SEA,TOR,Mariners at Blue Jays
2023-04-29,SEA,TOR,Mariners at Blue Jays
2023-04-30,SEA,TOR,Mariners at Blue Jays
2023-05-12,ATL,TOR,Braves at Blue Jays
2023-05-13,ATL,TOR,Braves at Blue Jays
2023-05-14,ATL,TOR,Braves at Blue Jays
2023-05-15,NYY,TOR,Yankees at Blue Jays
2023-05-16,NYY,TOR,Yankees at Blue Jays
2023-05-17,NYY,TOR,Yankees at Blue Jays
2023-05-18,NYY,TOR,Yankees at Blue Jays
2023-05-19,BAL,TOR,Orioles at Blue Jays
2023-05-20,BAL,TOR,Orioles at Blue Jays
2023-05-21,BAL,TOR,Orioles at Blue Jays
2023-05-30,MIL,TOR,Brewers at Blue Jays
2023-05-31,MIL,TOR,Brewers at Blue Jays
2023-06-01,MIL,TOR,Brewers at Blue Jays
2023-06-05,HOU,TOR,Astros at Blue Jays
2023-06-06,HOU,TOR,Astros at Blue Jays
2023-06-07,HOU,TOR,Astros at Blue Jays
2023-06-08,HOU,TOR,Astros at Blue Jays
2023-06-09,MIN,TOR,Twins at Blue Jays
2023-06-10,MIN,TOR,Twins at Blue Jays
2023-06-11,MIN,TOR,Twins at Blue Jays
2023-06-23,OAK,TOR,Athletics at Blue Jays
2023-06-24,OAK,TOR,Athletics at Blue Jays
2023-06-25,OAK,TOR,Athletics at Blue Jays
2023-06-27,SFG,TOR,Giants at Blue Jays
2023-06-28,SFG,TOR,Giants at Blue Jays
2023-06-29,SFG,TOR,Giants at Blue Jays
2023-06-30,BOS,TOR,Red Sox at Blue Jays
2023-07-01,BOS,TOR,Red Sox at Blue Jays
2023-07-02,BOS,TOR,Red Sox at Blue Jays
2023-07-14,ARI,TOR,D-backs at Blue Jays
2023-07-15,ARI,TOR,D-backs at Blue Jays
2023-07-16,ARI,TOR,D-backs at Blue Jays
2023-07-18,SDP,TOR,Padres at Blue Jays
2023-07-19,SDP,TOR,Padres at Blue Jays
2023-07-20,SDP,TOR,Padres at Blue Jays
2023-07-28,LAA,TOR,Angels at Blue Jays
2023-07-29,LAA,TOR,Angels at Blue Jays
2023-07-30,LAA,TOR,Angels at Blue Jays
2023-07-31,BAL,TOR,Orioles at Blue Jays
2023-08-01,BAL,TOR,Orioles at Blue Jays
2023-08-02,BAL,TOR,Orioles at Blue Jays
2023-08-03,BAL,TOR,Orioles at Blue Jays
2023-08-11,CHC,TOR,Cubs at Blue Jays
2023-08-12,CHC,TOR,Cubs at Blue Jays
2023-08-13,CHC,TOR,Cubs at Blue Jays
2023-08-15,PHI,TOR,Phillies at Blue Jays
2023-08-16,PHI,TOR,Phillies at Blue Jays
2023-08-25,CLE,TOR,Guardians at Blue Jays
2023-08-26,CLE,TOR,Guardians at Blue Jays
2023-08-27,CLE,TOR,Guardians at Blue Jays
2023-08-28,WSN,TOR,Nationals at Blue Jays
2023-08-29,WSN,TOR,Nationals at Blue Jays
2023-08-30,WSN,TOR,Nationals at Blue Jays
2023-09-08,KCR,TOR,Royals at Blue Jays
2023-09-09,KCR,TOR,Royals at Blue Jays
2023-09-10,KCR,TOR,Royals at Blue Jays
2023-09-11,TEX,TOR,Rangers at Blue Jays
2023-09-12,TEX,TOR,Rangers at Blue Jays
2023-09-13,TEX,TOR,Rangers at Blue Jays
2023-09-14,TEX,TOR,Rangers at Blue Jays
2023-09-15,BOS,TOR,Red Sox at Blue Jays
2023-09-16,BOS,TOR,Red Sox at Blue Jays
2023-09-17,BOS,TOR,Red Sox at Blue Jays
2023-09-26,NYY,TOR,Yankees at Blue Jays
2023-09-27,NYY,TOR,Yankees at Blue Jays
2023-09-28,NYY,TOR,Yankees at Blue Jays
2023-09-29,TBR,TOR,Rays at Blue Jays
2023-09-30,TBR,TOR,Rays at Blue Jays
2023-10-01,TBR,TOR,Rays at Blue Jays
2023-04-06,NYY,BAL,Yankees at Orioles
2023-04-08,NYY,BAL,Yankees at Orioles
2023-04-09,NYY,BAL,Yankees at Orioles
2023-04-10,OAK,BAL,Athletics at Orioles
2023-04-11,OAK,BAL,Athletics at Orioles
2023-04-12,OAK,BAL,Athletics at Orioles
2023-04-13,OAK,BAL,Athletics at Orioles
2023-04-21,DET,BAL,Tigers at Orioles
2023-04-22,DET,BAL,Tigers at Orioles
2023-04-23,DET,BAL,Tigers at Orioles
2023-04-24,BOS,BAL,Red Sox at Orioles
2023-04-25,BOS,BAL,Red Sox at Orioles
2023-04-26,BOS,BAL,Red Sox at Orioles
2023-05-08,TBR,BAL,Rays at Orioles
2023-05-09,TBR,BAL,Rays at Orioles
2023-05-10,TBR,BAL,Rays at Orioles
2023-05-12,PIT,BAL,Pirates at Orioles
2023-05-13,PIT,BAL,Pirates at Orioles
2023-05-14,PIT,BAL,Pirates at Orioles
2023-05-15,LAA,BAL,Angels at Orioles
2023-05-16,LAA,BAL,Angels at Orioles
2023-05-17,LAA,BAL,Angels at Orioles
2023-05-18,LAA,BAL,Angels at Orioles
2023-05-26,TEX,BAL,Rangers at Orioles
2023-05-27,TEX,BAL,Rangers at Orioles
2023-05-28,TEX,BAL,Rangers at Orioles
2023-05-29,CLE,BAL,Guardians at Orioles
2023-05-30,CLE,BAL,Guardians at Orioles
2023-05-31,CLE,BAL,Guardians at Orioles
2023-06-09,KCR,BAL,Royals at Orioles
2023-06-10,KCR,BAL,Royals at Orioles
2023-06-11,KCR,BAL,Royals at Orioles
2023-06-13,TOR,BAL,Blue Jays at Orioles
2023-06-14,TOR,BAL,Blue Jays at Orioles
2023-06-15,TOR,BAL,Blue Jays at Orioles
2023-06-23,SEA,BAL,Mariners at Orioles
2023-06-24,SEA,BAL,Mariners at Orioles
2023-06-25,SEA,BAL,Mariners at Orioles
2023-06-26,CIN,BAL,Reds at Orioles
2023-06-27,CIN,BAL,Reds at Orioles
2023-06-28,CIN,BAL,Reds at Orioles
2023-06-30,MIN,BAL,Twins at Orioles
2023-07-01,MIN,BAL,Twins at Orioles
2023-07-02,MIN,BAL,Twins at Orioles
2023-07-14,MIA,BAL,Marlins at Orioles
2023-07-15,MIA,BAL,Marlins at Orioles
2023-07-16,MIA,BAL,Marlins at Orioles
2023-07-17,LAD,BAL,Dodgers at Orioles
2023-07-18,LAD,BAL,Dodgers at Orioles
2023-07-19,LAD,BAL,Dodgers at Orioles
2023-07-28,NYY,BAL,Yankees at Orioles
2023-07-29,NYY,BAL,Yankees at Orioles
2023-07-30,NYY,BAL,Yankees at Orioles
2023-08-04,NYM,BAL,Mets at Orioles
2023-08-05,NYM,BAL,Mets at Orioles
2023-08-06,NYM,BAL,Mets at Orioles
2023-08-08,HOU,BAL,Astros at Orioles
2023-08-09,HOU,BAL,Astros at Orioles
2023-08-10,HOU,BAL,Astros at Orioles
2023-08-22,TOR,BAL,Blue Jays at Orioles
2023-08-23,TOR,BAL,Blue Jays at Orioles
2023-08-24,TOR,BAL,Blue Jays at Orioles
2023-08-25,COL,BAL,Rockies at Orioles
2023-08-26,COL,BAL,Rockies at Orioles
2023-08-27,COL,BAL,Rockies at Orioles
2023-08-28,CHW,BAL,White Sox at Orioles
2023-08-29,CHW,BAL,White Sox at Orioles
2023-08-30,CHW,BAL,White Sox at Orioles
2023-09-11,STL,BAL,Cardinals at Orioles
2023-09-12,STL,BAL,Cardinals at Orioles
2023-09-13,STL,BAL,Cardinals at Orioles
2023-09-14,TBR,BAL,Rays at Orioles
2023-09-15,TBR,BAL,Rays at Orioles
2023-09-16,TBR,BAL,Rays at Orioles
2023-09-17,TBR,BAL,Rays at Orioles
2023-09-26,WSN,BAL,Nationals at Orioles
2023-09-27,WSN,BAL,Nationals at Orioles
2023-09-28,BOS,BAL,Red Sox at Orioles
2023-09-29,BOS,BAL,Red Sox at Orioles
2023-09-30,BOS,BAL,Red Sox at Orioles
2023-10-01,BOS,BAL,Red Sox at Orioles
2023-03-30,DET,TBR,Tigers at Rays
2023-04-01,DET,TBR,Tigers at Rays
2023-04-02,DET,TBR,Tigers at Rays
2023-04-07,OAK,TBR,Athletics at Rays
2023-04-08,OAK,TBR,Athletics at Rays
2023-04-09,OAK,TBR,Athletics at Rays
2023-04-10,BOS,TBR,Red Sox at Rays
2023-04-11,BOS,TBR,Red Sox at Rays
2023-04-12,BOS,TBR,Red Sox at Rays
2023-04-13,BOS,TBR,Red Sox at Rays
2023-04-21,CHW,TBR,White Sox at Rays
2023-04-22,CHW,TBR,White Sox at Rays
2023-04-23,CHW,TBR,White Sox at Rays
2023-04-24,HOU,TBR,Astros at Rays
2023-04-25,HOU,TBR,Astros at Rays
2023-04-26,HOU,TBR,Astros at Rays
2023-05-02,PIT,TBR,Pirates at Rays
2023-05-03,PIT,TBR,Pirates at Rays
2023-05-04,PIT,TBR,Pirates at Rays
2023-05-05,NYY,TBR,Yankees at Rays
2023-05-06,NYY,TBR,Yankees at Rays
2023-05-07,NYY,TBR,Yankees at Rays
2023-05-19,MIL,TBR,Brewers at Rays
2023-05-20,MIL,TBR,Brewers at Rays
2023-05-21,MIL,TBR,Brewers at Rays
2023-05-22,TOR,TBR,Blue Jays at Rays
2023-05-23,TOR,TBR,Blue Jays at Rays
2023-05-24,TOR,TBR,Blue Jays at Rays
2023-05-25,TOR,TBR,Blue Jays at Rays
2023-05-26,LAD,TBR,Dodgers at Rays
2023-05-27,LAD,TBR,Dodgers at Rays
2023-05-28,LAD,TBR,Dodgers at Rays
2023-06-06,MIN,TBR,Twins at Rays
2023-06-07,MIN,TBR,Twins at Rays
2023-06-08,MIN,TBR,Twins at Rays
2023-06-09,TEX,TBR,Rangers at Rays
2023-06-10,TEX,TBR,Rangers at Rays
2023-06-11,TEX,TBR,Rangers at Rays
2023-06-20,BAL,TBR,Orioles at Rays
2023-06-21,BAL,TBR,Orioles at Rays
2023-06-22,KCR,TBR,Royals at Rays
2023-06-23,KCR,TBR,Royals at Rays
2023-06-24,KCR,TBR,Royals at Rays
2023-06-25,KCR,TBR,Royals at Rays
2023-07-04,PHI,TBR,Phillies at Rays
2023-07-05,PHI,TBR,Phillies at Rays
2023-07-06,PHI,TBR,Phillies at Rays
2023-07-07,ATL,TBR,Braves at Rays
2023-07-08,ATL,TBR,Braves at Rays
2023-07-09,ATL,TBR,Braves at Rays
2023-07-20,BAL,TBR,Orioles at Rays
2023-07-21,BAL,TBR,Orioles at Rays
2023-07-22,BAL,TBR,Orioles at Rays
2023-07-23,BAL,TBR,Orioles at Rays
2023-07-25,MIA,TBR,Marlins at Rays
2023-07-26,MIA,TBR,Marlins at Rays
2023-08-08,STL,TBR,Cardinals at Rays
2023-08-09,STL,TBR,Cardinals at Rays
2023-08-10,STL,TBR,Cardinals at Rays
2023-08-11,CLE,TBR,Guardians at Rays
2023-08-12,CLE,TBR,Guardians at Rays
2023-08-13,CLE,TBR,Guardians at Rays
2023-08-22,COL,TBR,Rockies at Rays
2023-08-23,COL,TBR,Rockies at Rays
2023-08-24,COL,TBR,Rockies at Rays
2023-08-25,NYY,TBR,Yankees at Rays
2023-08-26,NYY,TBR,Yankees at Rays
2023-08-27,NYY,TBR,Yankees at Rays
2023-09-04,BOS,TBR,Red Sox at Rays
2023-09-05,BOS,TBR,Red Sox at Rays
2023-09-06,BOS,TBR,Red Sox at Rays
2023-09-07,SEA,TBR,Mariners at Rays
2023-09-08,SEA,TBR,Mariners at Rays
2023-09-09,SEA,TBR,Mariners at Rays
2023-09-10,SEA,TBR,Mariners at Rays
2023-09-19,LAA,TBR,Angels at Rays
2023-09-20,LAA,TBR,Angels at Rays
2023-09-21,LAA,TBR,Angels at Rays
2023-09-22,TOR,TBR,Blue Jays at Rays
2023-09-23,TOR,TBR,Blue Jays at Rays
2023-09-24,TOR,TBR,Blue Jays at Rays
2023-03-30,BAL,BOS,Orioles at Red Sox
2023-04-01,BAL,BOS,Orioles at Red Sox
2023-04-02,BAL,BOS,Orioles at Red Sox
2023-04-03,PIT,BOS,Pirates at Red Sox
2023-04-04,PIT,BOS,Pirates at Red Sox
2023-04-05,PIT,BOS,Pirates at Red Sox
2023-04-14,LAA,BOS,Angels at Red Sox
2023-04-15,LAA,BOS,Angels at Red Sox
2023-04-16,LAA,BOS,Angels at Red Sox
2023-04-17,LAA,BOS,Angels at Red Sox
2023-04-18,MIN,BOS,Twins at Red Sox
2023-04-19,MIN,BOS,Twins at Red Sox
2023-04-20,MIN,BOS,Twins at Red Sox
2023-04-28,CLE,BOS,Guardians at Red Sox
2023-04-29,CLE,BOS,Guardians at Red Sox
2023-04-30,CLE,BOS,Guardians at Red Sox
2023-05-01,TOR,BOS,Blue Jays at Red Sox
2023-05-02,TOR,BOS,Blue Jays at Red Sox
2023-05-03,TOR,BOS,Blue Jays at Red Sox
2023-05-04,TOR,BOS,Blue Jays at Red Sox
2023-05-12,STL,BOS,Cardinals at Red Sox
2023-05-13,STL,BOS,Cardinals at Red Sox
2023-05-14,STL,BOS,Cardinals at Red Sox
2023-05-15,SEA,BOS,Mariners at Red Sox
2023-05-16,SEA,BOS,Mariners at Red Sox
