"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Dansby Swanson","ATL","59","255","230","59","12","1","9","33","30","20","64","2","6","2","",".255",".320",".430",".750",".326","","0.3","0.6","","1.5","18314"
"Fernando Tatis Jr.","SDP","34","147","129","35","7","0","9","23","23","15","36","1","6","2","",".272",".352",".546",".899",".382","","-0.5","0.7","","1.5","19709"
"Bobby Witt Jr.","KCR","56","241","220","57","12","2","9","30","30","15","54","2","10","3","",".260",".313",".459",".772",".332","","-0.7","0.7","","1.5","25764"
"Jorge Polanco","MIN","58","249","222","59","12","1","10","33","33","23","47","1","4","2","",".264",".335",".457",".792",".344","","-1.8","-0.1","","1.5","13152"
"Shohei Ohtani","LAA","58","249","213","55","10","2","14","36","38","32","66","2","8","3","",".257",".356",".520",".877",".370","","0.0","0.0","","1.4","19755"
"Jake Cronenworth","SDP","56","241","211","54","12","2","6","32","25","23","41","4","2","1","",".256",".337",".414",".751",".329","","1.0","-0.1","","1.4","18036"
"Tim Anderson","CHW","57","246","231","68","12","1","7","35","24","10","46","2","8","2","",".292",".326",".437",".762",".331","","-2.2","1.0","","1.4","15172"
"Sean Murphy","OAK","49","196","173","40","10","0","7","22","24","18","47","4","0","0","",".232",".314",".421",".736",".321","","0.9","-0.2","","1.4","19352"
"Andrés Giménez","CLE","54","233","212","55","11","1","7","27","27","12","53","7","7","2","",".260",".317",".427",".745",".324","","1.6","0.4","","1.4","19950"
"DJ LeMahieu","NYY","54","231","204","57","10","0","5","32","22","23","31","2","2","1","",".281",".357",".406",".763",".337","","1.6","-0.3","","1.4","9874"
"Alejandro Kirk","TOR","53","221","195","55","11","0","9","29","29","22","25","2","0","0","",".283",".360",".472",".832",".362","","0.0","-0.5","","1.4","22581"
"Cedric Mullins","BAL","59","254","228","59","12","1","8","33","24","20","46","3","11","3","",".259",".324",".428",".751",".327","","0.4","0.9","","1.4","17929"
"Trevor Story","BOS","51","221","197","48","12","1","9","29","29","19","59","3","7","2","",".246",".318",".451",".769",".331","","2.1","0.7","","1.4","12564"
"Willson Contreras","CHC","57","232","199","48","10","1","9","30","28","23","57","8","2","1","",".244",".345",".440",".784",".345","","0.0","-0.7","","1.4","11609"
"Jeff McNeil","NYM","58","252","227","63","14","1","5","29","27","18","33","5","2","1","",".279",".343",".412",".755",".332","","-0.3","-0.3","","1.4","15362"
"Ketel Marte","ARI","54","235","210","59","15","2","7","30","27","21","37","2","2","1","",".281",".350",".468",".819",".354","","-0.3","0.0","","1.4","13613"
"Ke'Bryan Hayes","PIT","54","235","211","54","12","2","4","27","22","21","50","2","5","1","",".255",".324",".390",".714",".315","","3.1","0.4","","1.4","18577"
"Ty France","SEA","55","237","210","60","12","0","8","30","30","17","39","8","0","0","",".284",".358",".460",".818",".357","","0.2","-0.5","","1.3","17982"
"Christian Yelich","MIL","57","245","208","54","10","2","8","36","28","33","59","2","7","1","",".258",".363",".440",".802",".350","","-0.6","0.9","","1.3","11477"
"Dylan Carlson","STL","54","234","207","54","13","2","6","29","26","21","50","4","2","1","",".259",".335",".432",".767",".335","","0.6","-0.1","","1.3","20126"
