"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Brian Anderson","MIA","36","158","138","34","7","0","4","17","16","15","40","3","1","0","",".244",".329",".394",".723",".319","","-0.3","0.0","","0.7","18289"
"Santiago Espinal","TOR","51","221","201","53","11","0","3","24","21","16","35","1","3","2","",".263",".318",".373",".692",".305","","0.7","-0.1","","0.7","19997"
"Jon Berti","MIA","33","141","122","30","6","1","2","18","11","15","31","2","10","2","",".245",".337",".353",".689",".310","","-0.1","1.1","","0.7","12037"
"MJ Melendez","KCR","44","178","157","37","8","1","7","21","22","18","44","1","1","1","",".235",".313",".438",".752",".326","","-0.1","-0.4","","0.7","22197"
"Luis Rengifo","LAA","46","199","181","45","8","2","5","21","19","14","37","2","4","2","",".247",".307",".387",".695",".305","","0.1","0.0","","0.7","19858"
"Odúbel Herrera","PHI","45","196","181","46","10","1","5","22","22","12","35","2","3","1","",".257",".306",".411",".717",".313","","-0.3","0.2","","0.7","11476"
"Austin Slater","SFG","28","122","105","27","5","1","3","16","12","13","32","2","4","1","",".252",".345",".409",".754",".332","","0.0","0.4","","0.7","16153"
"Trey Mancini","BAL","56","243","217","57","11","1","8","29","29","20","53","4","0","0","",".263",".334",".438",".773",".336","","-0.1","-0.4","","0.7","15149"
"Anthony Santander","BAL","55","238","217","54","11","0","10","28","32","16","48","3","1","1","",".250",".308",".449",".757",".327","","-0.8","-0.4","","0.7","14551"
"Ha-Seong Kim","SDP","30","131","117","28","6","1","3","15","15","11","26","2","3","1","",".238",".311",".380",".690",".305","","0.9","0.1","","0.7","27506"
"Brendan Donovan","STL","40","172","149","38","8","0","3","21","17","17","32","4","2","1","",".258",".344",".370",".714",".319","","0.1","-0.3","","0.7","24679"
"Nolan Jones","CLE","39","169","145","34","8","0","5","20","18","20","52","2","3","1","",".236",".335",".404",".739",".326","","0.5","0.0","","0.7","20529"
"Christian Bethancourt","TBR","33","132","121","30","6","0","5","15","16","8","30","1","2","1","",".246",".297",".417",".713",".310","","0.2","-0.2","","0.6","10028"
"Jonathan Schoop","DET","51","221","206","51","10","1","7","24","24","10","45","3","1","0","",".249",".290",".397",".687",".299","","0.4","0.0","","0.6","11265"
"Luis García","WSN","46","198","186","50","10","1","6","21","22","9","36","1","1","2","",".269",".302",".428",".731",".315","","-2.3","-0.5","","0.6","20391"
"Adolis García","TEX","57","247","230","54","11","2","11","30","35","13","72","2","7","2","",".237",".282",".443",".725",".312","","1.2","0.0","","0.6","19287"
"Josh H. Smith","TEX","46","199","176","42","8","1","4","21","16","17","40","4","6","2","",".241",".320",".364",".685",".305","","-0.4","0.2","","0.6","26396"
"Ozzie Albies","ATL","24","102","93","25","6","1","4","14","13","7","18","1","3","1","",".263",".315",".455",".769",".332","","0.5","0.3","","0.6","16556"
"Tony Kemp","OAK","46","200","174","42","9","1","3","22","16","20","28","3","4","1","",".244",".331",".357",".688",".308","","-0.4","0.1","","0.6","14894"
"Avisaíl García","MIA","51","221","204","51","8","0","7","23","26","12","56","4","3","1","",".249",".302",".400",".701",".306","","1.0","-0.2","","0.6","5760"
"David Fletcher","LAA","46","199","184","49","9","1","1","22","15","12","19","1","4","1","",".268",".312",".357",".669",".295","","0.1","0.2","","0.6","17992"
"Kevin Newman","PIT","52","224","207","54","11","1","3","23","19","13","24","2","4","2","",".263",".308",".365",".673",".295","","-0.3","-0.1","","0.6","17696"
"Victor Robles","WSN","46","201","177","41","9","1","4","23","17","13","49","6","7","2","",".232",".307",".353",".660",".294","","1.2","0.3","","0.6","18363"
"William Contreras","ATL","32","130","116","29","5","0","6","15","16","12","33","1","1","0","",".249",".323",".441",".764",".333","","-0.7","-0.2","","0.6","20503"
"Elvis Andrus","OAK","46","200","184","45","10","1","3","20","17","13","30","1","4","2","",".245",".298",".351",".650",".287","","-0.6","0.5","","0.6","8709"
"Nick Pratto","KCR","38","166","144","34","7","1","7","19","20","17","49","2","2","1","",".235",".322",".447",".769",".334","","0.8","-0.1","","0.6","22117"
"Didi Gregorius","PHI","47","205","187","45","8","2","6","22","25","13","31","3","1","1","",".239",".296",".397",".693",".301","","-1.4","-0.1","","0.6","6012"
"Nick Madrigal","CHC","35","152","140","39","6","1","1","16","12","8","14","2","3","2","",".281",".328",".370",".698",".308","","0.9","-0.3","","0.6","20521"
"Evan Longoria","SFG","33","144","129","31","6","0","5","17","18","12","33","1","1","0","",".242",".312",".414",".726",".316","","0.0","-0.2","","0.6","9368"
"Luis González","SFG","43","185","163","40","9","1","4","21","20","18","40","2","5","2","",".246",".324",".393",".717",".315","","-0.4","-0.1","","0.6","20332"
"Nick Senzel","CIN","49","213","193","49","10","1","5","25","20","16","42","2","5","3","",".253",".314",".384",".698",".308","","-0.2","-0.4","","0.6","19293"
"Gary Sánchez","MIN","50","202","179","37","8","0","9","23","27","19","55","3","1","0","",".208",".292",".410",".702",".306","","-1.2","-0.4","","0.6","11442"
"Garrett Cooper","MIA","43","185","164","43","9","1","5","20","21","17","48","3","0","0","",".263",".338",".419",".757",".333","","-0.1","-0.7","","0.6","15279"
"Marcell Ozuna","ATL","52","225","203","51","8","0","10","27","30","19","50","1","1","0","",".249",".313",".438",".751",".326","","-0.1","-0.1","","0.6","10324"
"Austin Barnes","LAD","23","90","78","16","3","0","2","11","9","10","20","1","1","0","",".212",".308",".349",".657",".294","","0.1","0.0","","0.6","12158"
"Jesús Aguilar","MIA","53","230","207","52","9","0","8","25","30","19","49","2","0","0","",".250",".315",".418",".733",".320","","0.0","-0.6","","0.5","11342"
"Jazz Chisholm Jr.","MIA","24","105","95","22","4","1","5","14","13","8","30","1","5","2","",".236",".302",".444",".746",".323","","-0.4","0.2","","0.5","20454"
"Ben Gamel","PIT","48","207","180","44","10","1","4","23","18","24","53","2","3","2","",".244",".335",".376",".711",".316","","-0.3","-0.3","","0.5","12160"
"Cavan Biggio","TOR","38","166","139","31","8","1","5","21","17","23","44","1","3","1","",".224",".340",".385",".724",".322","","0.3","0.0","","0.5","19252"
"Jorge Mateo","BAL","54","232","216","49","10","3","5","25","21","11","66","2","13","4","",".226",".269",".374",".643",".280","","0.5","0.8","","0.5","17273"
"Christopher Morel","CHC","53","228","205","47","9","2","8","28","26","18","65","2","7","2","",".231",".295",".407",".703",".306","","-2.5","0.3","","0.5","21897"
"Nick Castellanos","PHI","60","260","239","62","15","1","9","32","35","17","58","3","2","1","",".260",".313",".444",".757",".327","","-2.8","-0.3","","0.5","11737"
"Orlando Arcia","ATL","33","142","128","32","6","0","4","15","16","11","27","1","1","1","",".247",".309",".396",".705",".309","","0.7","-0.1","","0.5","13185"
"Austin Nola","SDP","31","122","109","28","6","0","2","13","13","10","21","2","1","0","",".253",".326",".370",".695",".308","","-0.9","-0.2","","0.5","15941"
"Jorge Soler","MIA","39","169","147","33","7","0","8","20","22","18","46","2","0","0","",".224",".316",".440",".756",".329","","-0.6","-0.5","","0.5","14221"
"Joey Votto","CIN","56","242","207","48","10","1","10","28","32","31","60","3","0","0","",".234",".339",".428",".767",".336","","-0.9","-1.1","","0.5","4314"
"César Hernández","WSN","48","209","187","46","9","1","3","24","17","18","40","2","2","1","",".248",".317",".358",".675",".300","","-0.3","-0.1","","0.5","10556"
"Austin Meadows","DET","30","128","114","29","6","1","5","16","18","12","24","1","1","1","",".256",".332",".461",".793",".343","","-0.1","-0.3","","0.5","15672"
"JJ Bleday","MIA","37","160","141","31","6","1","5","19","17","16","40","1","1","1","",".217",".301",".382",".683",".302","","0.8","-0.2","","0.5","26368"
"Yuli Gurriel","HOU","54","231","211","56","13","0","5","26","26","17","29","2","2","1","",".266",".324",".407",".731",".320","","-0.6","-0.4","","0.5","19198"
"Josh Harrison","CHW","36","158","143","36","7","1","3","17","15","9","24","4","2","1","",".250",".311",".369",".679",".301","","0.4","-0.2","","0.5","8202"
"Bryson Stott","PHI","32","138","123","29","5","0","4","15","14","13","30","0","2","1","",".236",".309",".380",".689",".304","","0.4","-0.2","","0.5","26294"
"LaMonte Wade Jr.","SFG","37","160","138","32","6","1","5","20","18","18","34","2","2","1","",".235",".330",".414",".744",".326","","-1.0","-0.2","","0.5","18126"
"Connor Joe","COL","47","201","172","44","9","1","5","26","19","25","42","3","2","1","",".254",".356",".410",".765",".339","","0.3","-0.2","","0.5","16572"
"Kyle Lewis","SEA","32","139","124","29","5","0","5","16","16","13","38","1","1","0","",".238",".315",".410",".725",".318","","0.1","-0.1","","0.5","19508"
"Jordan Luplow","ARI","38","166","143","31","7","0","7","21","21","19","43","2","3","1","",".220",".318",".430",".748",".327","","0.3","-0.2","","0.5","16424"
"Kyle Isbel","KCR","44","191","173","42","8","2","4","22","19","13","43","2","6","2","",".245",".303",".390",".693",".303","","1.3","0.2","","0.5","21614"
"Andrew McCutchen","MIL","53","229","199","48","9","0","8","28","28","26","48","2","3","2","",".241",".331",".409",".740",".326","","-0.4","-0.6","","0.5","9847"
"Tommy La Stella","SFG","38","163","148","38","8","0","4","19","16","12","19","1","0","0","",".260",".320",".392",".713",".313","","-1.2","-0.3","","0.5","12371"
"Tyler Heineman","PIT","29","116","104","24","5","0","2","12","10","9","19","1","1","0","",".232",".298",".339",".636",".284","","0.4","-0.2","","0.5","13897"
"Josh Lowe","TBR","47","205","182","41","10","1","6","24","22","18","63","1","6","1","",".225",".298",".382",".680",".299","","-0.8","0.5","","0.5","19953"
"Austin Hedges","CLE","37","146","133","26","4","0","5","14","16","9","40","2","1","0","",".193",".249",".336",".585",".257","","1.1","-0.2","","0.5","12976"
"Spencer Torkelson","DET","40","174","152","35","7","0","7","20","20","18","41","2","1","0","",".229",".317",".415",".732",".321","","0.7","-0.3","","0.5","27465"
"Nelson Cruz","WSN","51","220","196","49","8","0","10","27","32","20","51","3","1","0","",".252",".327",".442",".769",".332","","0.0","-0.7","","0.5","2434"
"Francisco Mejía","TBR","28","112","104","26","6","1","3","12","13","5","24","2","0","0","",".246",".290",".408",".698",".303","","0.0","-0.1","","0.5","16403"
"Donovan Solano","CIN","39","169","155","44","9","0","3","17","17","9","31","3","0","0","",".283",".332",".412",".744",".326","","-0.3","-0.3","","0.5","8623"
"Nick Fortes","MIA","22","88","79","19","3","0","2","11","10","7","16","2","1","0","",".239",".309",".389",".698",".307","","0.0","0.0","","0.5","21538"
"Joey Bart","SFG","28","111","100","22","4","0","3","13","11","8","37","2","1","0","",".222",".289",".370",".659",".291","","-0.4","-0.2","","0.5","21524"
"Michael Stefanic","LAA","28","122","109","28","5","0","2","14","10","9","18","2","1","1","",".260",".328",".367",".695",".309","","0.4","-0.2","","0.5","25353"
"Martín Maldonado","HOU","44","174","155","30","6","0","6","18","18","15","52","2","0","0","",".191",".269",".340",".609",".271","","1.0","-0.7","","0.5","6887"
"Matt Vierling","PHI","40","171","154","37","7","1","4","19","17","13","38","2","5","2","",".242",".305",".376",".681",".300","","0.7","0.1","","0.4","21558"
"Seth Brown","OAK","51","221","204","47","11","1","9","25","30","15","61","1","3","1","",".229",".284",".435",".719",".309","","0.2","0.0","","0.4","18171"
"Brian Serven","COL","26","105","94","21","4","1","4","12","12","7","24","1","0","0","",".226",".290",".397",".687",".301","","0.6","-0.1","","0.4","19422"
"Jose Miranda","MIN","27","116","107","29","6","0","4","14","15","6","18","2","0","0","",".273",".319",".449",".768",".333","","0.2","-0.2","","0.4","20538"
"Tyler Stephenson","CIN","18","70","62","17","3","0","2","8","8","6","15","1","0","0","",".266",".340",".412",".752",".331","","0.2","-0.1","","0.4","17988"
"Kyle Higashioka","NYY","23","90","82","17","3","0","4","10","11","6","23","1","0","0","",".207",".263",".390",".653",".284","","0.2","-0.1","","0.4","5517"
"Kole Calhoun","TEX","46","197","176","39","8","0","8","22","24","17","51","2","1","1","",".224",".297",".404",".702",".307","","0.4","-0.3","","0.4","11200"
"AJ Pollock","CHW","41","177","162","40","9","0","6","21","24","11","37","2","2","0","",".249",".302",".423",".725",".314","","-0.5","-0.1","","0.4","9256"
"Victor Caratini","MIL","22","88","77","19","3","0","3","9","10","9","19","1","0","0","",".241",".328",".385",".712",".314","","-0.1","-0.1","","0.4","14968"
"Charlie Blackmon","COL","50","218","197","53","10","2","7","28","28","16","38","3","1","1","",".272",".333",".447",".780",".338","","-0.4","-0.2","","0.4","7859"
"Geraldo Perdomo","ARI","49","213","185","41","7","2","2","22","16","23","46","3","4","2","",".222",".314",".315",".629",".285","","-0.3","-0.2","","0.4","22799"
"Franmil Reyes","CLE","42","183","166","40","7","0","10","21","27","15","60","1","1","0","",".241",".305",".461",".766",".330","","0.0","-0.4","","0.4","14566"
"Daniel Vogelbach","NYM","29","124","104","23","4","0","5","15","15","19","31","0","0","0","",".221",".342",".411",".753",".333","","0.0","-0.4","","0.4","14130"
"Lane Thomas","WSN","42","179","160","37","8","1","6","21","21","16","45","1","3","1","",".232",".305",".401",".705",".309","","-0.2","-0.1","","0.4","16939"
"Tucker Barnhart","DET","40","157","141","31","6","0","2","13","13","13","39","1","0","0","",".221",".291",".313",".604",".271","","1.0","-0.5","","0.4","10200"
"Wil Myers","SDP","45","196","175","41","9","1","6","21","23","18","56","1","3","1","",".235",".306",".396",".702",".307","","-0.4","0.0","","0.4","10047"
"Buddy Kennedy","ARI","26","111","99","25","3","1","3","13","12","10","26","1","2","1","",".251",".321",".405",".726",".318","","-0.4","0.1","","0.4","22505"
"Chas McCormick","HOU","24","103","91","21","3","0","4","12","12","10","26","1","1","1","",".234",".315",".396",".711",".314","","0.6","-0.1","","0.4","19599"
"Alex Kirilloff","MIN","37","160","147","38","7","0","5","17","20","10","36","2","1","1","",".261",".314",".425",".739",".321","","-0.2","-0.3","","0.4","20325"
"Jorge Alfaro","SDP","32","126","117","29","5","0","3","12","14","6","41","2","2","1","",".244",".289",".380",".669",".292","","-0.6","-0.2","","0.4","12180"
"Brandon Marsh","LAA","49","210","189","43","7","2","4","20","19","17","69","2","5","1","",".230",".297",".354",".651",".288","","1.7","0.4","","0.4","20202"
"Joey Gallo","NYY","18","76","63","12","2","0","4","10","11","12","28","1","1","0","",".192",".325",".442",".767",".335","","0.3","0.1","","0.4","14128"
"Robbie Grossman","DET","47","201","172","39","8","1","4","22","18","25","48","3","4","1","",".227",".332",".361",".692",".310","","-0.3","-0.2","","0.4","5254"
"Hunter Dozier","KCR","47","205","184","45","10","2","6","22","23","17","51","2","2","1","",".242",".311",".421",".732",".319","","-0.9","-0.5","","0.4","15117"
"Juan Yepez","STL","27","117","105","26","6","0","6","14","16","9","26","1","0","0","",".247",".311",".460",".771",".333","","0.0","-0.2","","0.4","18400"
"Eric Hosmer","SDP","46","198","179","47","9","0","5","20","23","16","36","1","1","1","",".264",".326",".398",".724",".316","","-0.6","-0.6","","0.4","3516"
"Carlos Santana","SEA","50","218","184","40","7","0","7","23","23","31","36","1","0","0","",".216",".331",".372",".703",".313","","0.0","-0.3","","0.4","2396"
"Darin Ruf","SFG","31","136","118","28","5","0","5","17","16","15","36","2","1","0","",".237",".329",".415",".745",".327","","-0.2","-0.2","","0.4","9929"
"Luke Voit","SDP","36","155","135","31","6","0","6","18","21","17","46","2","0","0","",".230",".321",".420",".742",".325","","-0.1","-0.3","","0.4","14811"
"Yadier Molina","STL","26","103","96","23","4","0","2","9","11","4","17","1","1","0","",".243",".280",".353",".633",".278","","0.7","-0.4","","0.4","7007"
"Tyler Naquin","CIN","45","194","178","45","10","1","6","22","25","12","48","2","2","1","",".252",".307",".428",".735",".318","","-0.5","-0.2","","0.4","13359"
"C.J. Abrams","SDP","25","110","101","25","5","0","2","13","11","5","22","2","4","1","",".244",".293",".364",".657",".289","","0.1","0.1","","0.4","25768"
"Elias Díaz","COL","32","127","115","29","6","1","4","14","15","10","23","1","0","0","",".253",".313",".412",".725",".316","","-0.4","-0.2","","0.4","11680"
"Taylor Walls","TBR","35","152","134","28","7","1","3","16","13","16","40","1","4","2","",".207",".293",".326",".619",".278","","0.3","-0.1","","0.4","22458"
"Oscar Gonzalez","CLE","30","129","123","33","6","0","5","14","17","5","28","1","0","0","",".268",".298",".450",".749",".322","","0.1","-0.1","","0.3","20970"
"Ryan Jeffers","MIN","18","71","63","13","3","0","3","8","8","6","21","1","0","0","",".212",".288",".380",".668",".295","","-0.1","-0.1","","0.3","24618"
"Yan Gomes","CHC","26","104","97","23","4","0","3","11","12","5","21","1","0","0","",".242",".286",".394",".680",".295","","0.2","-0.2","","0.3","9627"
"Ezequiel Duran","TEX","33","143","132","31","6","1","4","16","15","8","37","1","3","2","",".236",".285",".386",".671",".292","","-0.1","0.0","","0.3","23733"
"Rafael Ortega","CHC","41","177","156","38","8","1","4","20","17","18","37","1","5","2","",".243",".322",".387",".709",".313","","0.2","-0.2","","0.3","10323"
"Harold Ramírez","TBR","24","102","95","27","6","0","2","11","12","5","17","2","1","1","",".285",".329",".422",".751",".327","","-0.3","-0.1","","0.3","14387"
"Rougned Odor","BAL","42","180","162","34","7","1","8","20","23","13","48","3","1","1","",".209",".278",".405",".683",".297","","-0.9","-0.2","","0.3","12282"
"Akil Baddoo","DET","30","131","116","28","5","2","3","16","14","13","32","0","5","1","",".240",".314",".402",".716",".314","","-0.4","0.4","","0.3","22168"
"Chad Pinder","OAK","38","163","151","36","8","0","5","18","19","9","46","1","1","0","",".237",".284",".402",".686",".298","","0.0","-0.2","","0.3","15191"
"David Bote","CHC","29","124","109","25","5","1","4","14","14","11","31","2","1","1","",".231",".312",".386",".698",".308","","-0.7","-0.1","","0.3","14593"
"Edward Olivares","KCR","25","108","98","26","4","1","3","12","12","7","21","2","3","1","",".261",".319",".419",".737",".322","","-0.2","0.0","","0.3","19698"
"Johan Camargo","PHI","18","77","70","18","3","0","2","9","9","6","16","0","0","0","",".251",".314",".407",".721",".315","","0.0","-0.1","","0.3","14950"
"Nomar Mazara","SDP","38","163","149","37","7","0","5","17","20","12","39","2","0","0","",".248",".309",".394",".703",".309","","-0.3","-0.2","","0.3","14553"
"Salvador Perez","KCR","26","106","100","24","5","0","6","12","16","4","27","2","0","0","",".245",".286",".468",".754",".322","","0.1","-0.2","","0.3","7304"
"J.D. Davis","NYM","25","108","94","23","5","0","3","12","12","11","30","2","1","0","",".247",".332",".402",".733",".324","","-0.2","-0.2","","0.3","16219"
"Eric Haase","DET","24","96","87","19","3","0","4","11","13","7","29","1","0","0","",".221",".282",".408",".690",".300","","0.0","-0.1","","0.3","14111"
"Brett Phillips","TBR","31","133","115","20","3","1","4","15","13","14","50","1","5","1","",".177",".271",".328",".599",".269","","1.3","0.7","","0.3","14735"
"Kevin Plawecki","BOS","22","87","77","19","4","0","2","9","8","7","15","2","0","0","",".246",".320",".370",".690",".306","","-0.6","-0.2","","0.3","13807"
"Victor Reyes","DET","25","109","102","28","5","1","2","12","10","5","23","1","2","1","",".272",".308",".406",".713",".310","","-0.1","0.0","","0.3","15487"
"Yadiel Hernandez","WSN","37","161","147","38","7","0","5","18","20","12","37","1","1","1","",".259",".315",".419",".734",".320","","-1.0","-0.4","","0.3","19334"
"Mauricio Dubón","HOU","18","79","73","18","3","0","2","9","8","5","12","1","1","1","",".253",".300",".386",".686",".300","","0.3","-0.1","","0.3","16530"
"Matt Duffy","LAA","27","116","104","28","4","0","1","11","9","9","22","2","1","0","",".265",".330",".346",".676",".303","","-0.4","-0.2","","0.3","13836"
"Jarren Duran","BOS","35","150","137","34","7","2","3","18","13","10","39","2","6","2","",".249",".305",".398",".703",".307","","-0.7","0.4","","0.3","24617"
"Triston Casas","BOS","25","109","94","23","5","0","4","13","13","12","25","1","1","0","",".241",".333",".427",".760",".332","","0.0","-0.1","","0.3","sa3007634"
"Matt Carpenter","NYY","23","98","82","18","4","0","4","12","13","13","28","2","1","0","",".217",".333",".424",".757",".332","","-0.1","-0.2","","0.3","8090"
"Dylan Moore","SEA","20","87","75","15","3","1","3","10","9","9","25","2","5","2","",".204",".302",".364",".666",".297","","0.1","0.2","","0.3","18042"
"Paul DeJong","STL","13","54","48","11","2","0","2","6","7","5","14","1","1","0","",".219",".296",".397",".692",".304","","0.4","0.0","","0.3","18015"
"Michael Chavis","PIT","46","199","184","44","8","1","8","21","25","11","57","3","1","1","",".239",".287",".421",".709",".307","","-0.3","-0.4","","0.3","17321"
"Skye Bolt","OAK","20","84","76","17","3","0","2","9","8","7","23","1","2","1","",".219",".289",".369",".658",".290","","0.8","0.1","","0.3","17723"
"Luke Maile","CLE","26","103","90","18","5","0","1","10","8","10","29","1","0","0","",".205",".292",".299",".591",".269","","0.6","-0.1","","0.3","13355"
"Tomás Nido","NYM","24","94","87","19","4","0","1","8","9","4","25","1","0","0","",".216",".257",".312",".569",".251","","0.3","-0.2","","0.3","13755"
"Randal Grichuk","COL","41","177","164","42","9","1","7","21","25","10","39","1","1","0","",".256",".300",".453",".753",".325","","-1.5","-0.2","","0.3","10243"
"James McCann","NYM","19","76","69","16","3","0","2","7","8","5","20","1","1","0","",".227",".286",".354",".640",".282","","0.0","-0.1","","0.3","12859"
"Curt Casali","SFG","20","78","68","15","3","0","2","8","8","8","22","1","0","0","",".220",".307",".354",".661",".293","","-0.3","-0.1","","0.3","12510"
"Cam Gallagher","KCR","16","63","57","13","3","0","1","6","5","4","13","0","0","0","",".236",".294",".348",".642",".285","","0.2","-0.1","","0.3","12981"
"Abraham Toro","SEA","16","71","63","15","3","0","2","8","8","6","12","1","1","0","",".231",".306",".388",".693",".305","","0.1","-0.1","","0.3","19844"
"Jace Peterson","MIL","16","68","59","14","3","0","2","8","7","7","16","1","2","0","",".238",".325",".388",".713",".315","","-0.1","0.2","","0.3","12325"
"Gavin Sheets","CHW","29","127","115","28","5","0","5","14","17","10","28","1","0","0","",".245",".308",".428",".736",".321","","-0.4","-0.3","","0.3","19901"
"Esteury Ruiz","SDP","19","83","75","17","4","0","2","9","8","6","19","2","5","2","",".226",".292",".366",".659",".291","","0.3","0.3","","0.2","21780"
"Eddie Rosario","ATL","46","198","185","47","9","1","7","23","26","11","33","0","3","1","",".252",".293",".427",".720",".311","","-0.6","0.1","","0.2","12155"
"Luke Raley","TBR","17","75","66","15","3","0","3","9","9","5","22","3","1","0","",".224",".299",".396",".695",".305","","0.5","0.0","","0.2","19354"
"Frank Schwindel","CHC","34","149","138","35","7","0","6","17","20","8","27","1","0","0","",".253",".298",".439",".737",".318","","0.1","-0.3","","0.2","15351"
"Yonathan Daza","COL","36","155","142","40","7","1","2","17","14","9","24","1","1","1","",".280",".326",".376",".702",".309","","0.3","-0.3","","0.2","15794"
"Meibrys Viloria","TEX","18","72","63","14","3","0","1","7","6","7","20","1","1","0","",".217",".304",".331",".634",".285","","0.4","-0.1","","0.2","17109"
"Andrew Knizner","STL","25","100","89","20","4","0","2","10","10","8","19","2","1","0","",".230",".305",".339",".644",".288","","0.2","-0.1","","0.2","19514"
"Vimael Machín","OAK","21","92","81","19","4","0","1","10","7","9","17","1","0","0","",".233",".315",".341",".656",".293","","-0.1","-0.1","","0.2","17684"
"Reese McGuire","CHW","15","58","53","12","3","0","1","5","5","4","12","0","0","0","",".229",".282",".341",".624",".275","","0.3","0.0","","0.2","15674"
"Bobby Dalbec","BOS","35","150","134","30","5","1","7","17","20","12","49","2","1","0","",".223",".298",".438",".735",".318","","-0.2","-0.1","","0.2","19966"
"Owen Miller","CLE","47","202","184","45","10","1","4","21","20","13","45","2","1","0","",".245",".299",".368",".668",".293","","0.5","-0.2","","0.2","24655"
"Aramis Garcia","CIN","20","80","73","16","3","0","2","8","8","4","24","1","0","0","",".219",".268",".364",".632",".277","","0.2","-0.2","","0.2","16925"
"Kyle Garlick","MIN","17","72","66","16","3","0","4","9","10","4","21","1","0","0","",".239",".294",".471",".765",".328","","-0.2","0.0","","0.2","18063"
"Emmanuel Rivera","KCR","22","97","89","22","4","1","3","11","10","6","20","1","1","0","",".245",".294",".398",".691",".301","","-0.4","0.0","","0.2","19890"
"Gunnar Henderson","BAL","10","44","38","9","2","0","1","5","5","5","12","0","1","0","",".239",".329",".421",".750",".329","","0.0","0.0","","0.2","sa3011484"
"Andrew Velazquez","LAA","28","122","111","24","5","1","3","13","11","8","37","1","6","1","",".214",".269",".342",".612",".270","","0.2","0.7","","0.2","14196"
"Hanser Alberto","LAD","23","98","94","25","5","1","2","10","10","2","12","1","1","0","",".268",".290",".384",".674",".293","","-0.2","0.0","","0.2","11902"
"Manuel Margot","TBR","11","47","43","11","2","0","1","5","5","4","8","0","1","1","",".261",".321",".399",".720",".315","","0.2","0.0","","0.2","14712"
"Aledmys Díaz","HOU","22","95","87","21","5","0","3","10","11","6","17","1","0","0","",".244",".302",".388",".689",".302","","0.2","-0.2","","0.2","15937"
"Nick Allen","OAK","47","203","184","42","9","1","3","21","17","14","41","2","4","2","",".227",".286",".327",".613",".273","","-0.4","-0.1","","0.2","22277"
"David Villar","SFG","13","55","49","11","2","0","2","6","6","5","16","1","0","0","",".222",".304",".383",".687",".304","","0.2","0.0","","0.2","24782"
"Luis Torrens","SEA","25","97","88","20","4","0","3","9","10","7","26","1","0","0","",".226",".286",".366",".652",".286","","-0.1","-0.2","","0.2","15905"
"Miguel Sanó","MIN","26","111","96","21","4","0","6","14","16","12","38","1","0","0","",".215",".308",".451",".759",".329","","-0.8","-0.2","","0.2","12164"
"Garrett Stubbs","PHI","13","51","45","10","2","0","1","6","5","5","10","0","1","0","",".228",".308",".366",".674",".299","","0.2","0.1","","0.2","18067"
"René Pinto","TBR","12","48","44","10","2","0","1","5","5","3","15","0","0","0","",".218",".267",".362",".630",".276","","0.2","0.0","","0.2","19859"
"Brad Miller","TEX","41","177","157","35","5","1","7","20","22","17","50","1","2","1","",".225",".303",".408",".711",".311","","-0.2","-0.3","","0.2","12775"
"Andrelton Simmons","CHC","18","79","72","18","3","0","1","8","7","5","10","1","1","0","",".245",".297",".323",".619",".276","","0.9","0.1","","0.2","10847"
"Brett Gardner","","24","105","91","20","4","1","2","11","10","11","24","1","1","0","",".224",".312",".354",".665",".297","","0.1","0.1","","0.2","9927"
"Josh VanMeter","PIT","26","113","99","22","5","1","3","12","12","13","27","1","2","1","",".219",".309",".380",".689",".305","","-0.2","-0.1","","0.2","15170"
"Jose Herrera","ARI","18","71","62","13","2","0","1","7","6","7","18","0","0","0","",".209",".293",".308",".601",".271","","0.7","0.0","","0.2","17040"
"Greg Allen","PIT","18","77","69","17","3","1","1","9","6","5","17","3","3","1","",".244",".317",".356",".673",".299","","0.4","0.2","","0.2","16623"
"Mike Brosseau","MIL","13","57","51","12","2","0","2","7","7","5","15","1","0","0","",".238",".312",".404",".715",".314","","-0.2","-0.1","","0.2","19683"
"Sam Hilliard","COL","26","112","100","22","4","1","5","14","13","10","35","1","3","1","",".221",".291",".414",".706",".306","","0.4","0.2","","0.2","17954"
"Rob Refsnyder","BOS","15","65","58","15","3","0","2","8","7","6","16","1","0","0","",".259",".337",".406",".743",".327","","-0.1","-0.1","","0.2","13770"
"Nick Gordon","MIN","26","111","102","25","5","1","2","11","11","6","27","2","3","1","",".248",".296",".377",".673",".295","","-0.6","0.2","","0.2","16337"
"Matt Reynolds","CIN","16","67","59","14","3","0","1","8","6","7","18","1","1","0","",".238",".320",".359",".678",".302","","-0.1","0.0","","0.2","13788"
"Raimel Tapia","TOR","31","133","123","33","7","1","2","15","13","8","23","0","4","1","",".267",".311",".388",".699",".306","","-0.8","0.4","","0.2","14350"
"Bryan De La Cruz","MIA","17","75","68","17","3","0","2","8","8","5","18","0","1","0","",".255",".307",".399",".705",".308","","-0.4","-0.1","","0.2","19600"
"Mike Moustakas","CIN","38","166","147","34","8","0","6","18","21","14","37","2","1","0","",".230",".305",".416",".721",".315","","-0.5","-0.4","","0.2","4892"
